INDRA,PROV,CIRCUNS,CIRC,PROVINCIA,CIRCUNSCRI,CIRCUITO,APR_1,AL_1,TURNT_1,ELEC_1,VOTPOS_1,AL99CIRC,APR99CIR,TURN99CR,EAST,NORTH,INDRANO,APR99PC,AL99PC,TURN99PC
010110103,01,011,0103,Ciudad Autónoma de Bs.As.,Balvanera Norte,0103,857.00,3537.00,6314.00,8267.00,6114.00,0.58,0.14,0.76,15953.50,12648.33,10110103,0.140170,0.578508,0.763760
010110104,01,011,0104,Ciudad Autónoma de Bs.As.,Balvanera Norte,0104,768.00,3649.00,6544.00,8813.00,6254.00,0.58,0.12,0.74,15311.50,12669.33,10110104,0.122801,0.583467,0.742539
010110105,01,011,0105,Ciudad Autónoma de Bs.As.,Balvanera Norte,0105,751.00,3370.00,5701.00,7617.00,5508.00,0.61,0.14,0.75,15515.25,12804.33,10110105,0.136347,0.611837,0.748457
010110106,01,011,0106,Ciudad Autónoma de Bs.As.,Balvanera Norte,0106,735.00,3308.00,5916.00,8115.00,5647.00,0.59,0.13,0.73,15939.50,12782.08,10110106,0.130158,0.585798,0.729020
010110107,01,011,0107,Ciudad Autónoma de Bs.As.,Balvanera Norte,0107,908.00,2398.00,5010.00,6604.00,4804.00,0.50,0.19,0.76,16091.50,13198.08,10110107,0.189009,0.499167,0.758631
010120108,01,012,0108,Ciudad Autónoma de Bs.As.,Concepción,0108,376.00,1466.00,3276.00,4423.00,3104.00,0.47,0.12,0.74,16928.25,10245.33,10120108,0.121134,0.472294,0.740674
010120109,01,012,0109,Ciudad Autónoma de Bs.As.,Concepción,0109,373.00,1429.00,2919.00,3747.00,2814.00,0.51,0.13,0.78,17181.75,10730.08,10120109,0.132552,0.507818,0.779023
010120110,01,012,0110,Ciudad Autónoma de Bs.As.,Concepción,0110,379.00,1535.00,3027.00,3947.00,2926.00,0.52,0.13,0.77,17779.00,10524.08,10120110,0.129528,0.524607,0.766912
010120111,01,012,0111,Ciudad Autónoma de Bs.As.,Concepción,0111,308.00,1212.00,2354.00,3183.00,2249.00,0.54,0.14,0.74,17311.00,10667.33,10120111,0.136950,0.538906,0.739554
010120112,01,012,0112,Ciudad Autónoma de Bs.As.,Concepción,0112,540.00,2316.00,4474.00,5732.00,4284.00,0.54,0.13,0.78,18114.50,10542.83,10120112,0.126050,0.540616,0.780530
010120113,01,012,0113,Ciudad Autónoma de Bs.As.,Concepción,0113,183.00,919.00,1848.00,2456.00,1769.00,0.52,0.10,0.75,18868.75,10583.83,10120113,0.103448,0.519503,0.752443
010120114,01,012,0114,Ciudad Autónoma de Bs.As.,Concepción,0114,260.00,976.00,1999.00,2854.00,1899.00,0.51,0.14,0.70,18519.50,11175.83,10120114,0.136914,0.513955,0.700420
010120115,01,012,0115,Ciudad Autónoma de Bs.As.,Concepción,0115,616.00,2657.00,5316.00,6783.00,5109.00,0.52,0.12,0.78,18351.25,11208.83,10120115,0.120572,0.520063,0.783724
010120116,01,012,0116,Ciudad Autónoma de Bs.As.,Concepción,0116,437.00,2028.00,4185.00,5588.00,4044.00,0.50,0.11,0.75,17833.00,11060.33,10120116,0.108061,0.501484,0.748926
010120117,01,012,0117,Ciudad Autónoma de Bs.As.,Concepción,0117,705.00,3211.00,6506.00,8040.00,5959.00,0.54,0.12,0.81,16709.50,11022.33,10120117,0.118308,0.538849,0.809204
010130118,01,013,0118,Ciudad Autónoma de Bs.As.,Monserrat,0118,671.00,2500.00,4940.00,6214.00,4706.00,0.53,0.14,0.79,16773.25,11282.33,10130118,0.142584,0.531237,0.794979
010130119,01,013,0119,Ciudad Autónoma de Bs.As.,Monserrat,0119,654.00,2475.00,5093.00,6698.00,4862.00,0.51,0.13,0.76,17178.50,11472.33,10130119,0.134513,0.509050,0.760376
010130120,01,013,0120,Ciudad Autónoma de Bs.As.,Monserrat,0120,349.00,1156.00,2615.00,3881.00,2525.00,0.46,0.14,0.67,17442.75,11301.58,10130120,0.138218,0.457822,0.673795
010130121,01,013,0121,Ciudad Autónoma de Bs.As.,Monserrat,0121,502.00,2140.00,4569.00,6257.00,4375.00,0.49,0.11,0.73,17947.75,11767.83,10130121,0.114743,0.489143,0.730222
010130122,01,013,0122,Ciudad Autónoma de Bs.As.,Monserrat,0122,449.00,1674.00,3694.00,4999.00,3519.00,0.48,0.13,0.74,18208.25,11718.83,10130122,0.127593,0.475703,0.738948
010130123,01,013,0123,Ciudad Autónoma de Bs.As.,Monserrat,0123,191.00,447.00,1244.00,1600.00,1202.00,0.37,0.16,0.78,18761.50,11425.08,10130123,0.158902,0.371880,0.777500
010130124,01,013,0124,Ciudad Autónoma de Bs.As.,Monserrat,0124,134.00,169.00,582.00,770.00,551.00,0.31,0.24,0.76,18551.75,11957.58,10130124,0.243194,0.306715,0.755844
010130125,01,013,0125,Ciudad Autónoma de Bs.As.,Monserrat,0125,272.00,663.00,1760.00,2257.00,1626.00,0.41,0.17,0.78,18202.56,11975.58,10130125,0.167282,0.407749,0.779796
010130126,01,013,0126,Ciudad Autónoma de Bs.As.,Monserrat,0126,335.00,766.00,1797.00,2537.00,1703.00,0.45,0.20,0.71,18011.50,12025.58,10130126,0.196712,0.449794,0.708317
010130127,01,013,0127,Ciudad Autónoma de Bs.As.,Monserrat,0127,341.00,945.00,2013.00,2884.00,1909.00,0.50,0.18,0.70,17428.00,11798.33,10130127,0.178628,0.495024,0.697989
010130128,01,013,0128,Ciudad Autónoma de Bs.As.,Monserrat,0128,686.00,2250.00,4813.00,6482.00,4597.00,0.49,0.15,0.74,17163.75,12038.58,10130128,0.149228,0.489450,0.742518
010130129,01,013,0129,Ciudad Autónoma de Bs.As.,Monserrat,0129,982.00,2521.00,6631.00,8461.00,6379.00,0.40,0.15,0.78,16920.50,11955.83,10130129,0.153943,0.395203,0.783714
010140130,01,014,0130,Ciudad Autónoma de Bs.As.,San Nicolás,0130,1080.00,3733.00,7705.00,10651.00,7393.00,0.50,0.15,0.72,16824.00,12673.58,10140130,0.146084,0.504937,0.723406
010140131,01,014,0131,Ciudad Autónoma de Bs.As.,San Nicolás,0131,754.00,2296.00,5218.00,7282.00,4983.00,0.46,0.15,0.72,17282.25,12434.33,10140131,0.151314,0.460767,0.716561
010140132,01,014,0132,Ciudad Autónoma de Bs.As.,San Nicolás,0132,439.00,803.00,1981.00,2860.00,1884.00,0.43,0.23,0.69,17778.00,12514.33,10140132,0.233015,0.426221,0.692657
010140133,01,014,0133,Ciudad Autónoma de Bs.As.,San Nicolás,0133,249.00,281.00,821.00,1139.00,782.00,0.36,0.32,0.72,18566.00,12854.58,10140133,0.318414,0.359335,0.720808
010140134,01,014,0134,Ciudad Autónoma de Bs.As.,San Nicolás,0134,836.00,1188.00,3151.00,4770.00,2975.00,0.40,0.28,0.66,18237.75,13077.08,10140134,0.281008,0.399328,0.660587
010140135,01,014,0135,Ciudad Autónoma de Bs.As.,San Nicolás,0135,792.00,1637.00,3826.00,5543.00,3643.00,0.45,0.22,0.69,17911.00,13253.33,10140135,0.217403,0.449355,0.690240
010140136,01,014,0136,Ciudad Autónoma de Bs.As.,San Nicolás,0136,532.00,1020.00,2541.00,3632.00,2412.00,0.42,0.22,0.70,17128.75,13079.33,10140136,0.220564,0.422886,0.699615
010140137,01,014,0137,Ciudad Autónoma de Bs.As.,San Nicolás,0137,1678.00,4427.00,9750.00,12649.00,9040.00,0.49,0.19,0.77,16732.75,12804.83,10140137,0.185619,0.489712,0.770812
010250138,01,025,0138,Ciudad Autónoma de Bs.As.,San Luis Gonzaga,0138,6104.00,21445.00,39771.00,47262.00,37989.00,0.56,0.16,0.84,6014.75,11588.58,10250138,0.160678,0.564506,0.841501
010240139,01,024,0139,Ciudad Autónoma de Bs.As.,Versalles,0139,3778.00,14559.00,28091.00,33629.00,26668.00,0.55,0.14,0.84,7014.25,10935.83,10240139,0.141668,0.545935,0.835321
010240140,01,024,0140,Ciudad Autónoma de Bs.As.,Versalles,0140,6340.00,23118.00,45418.00,53552.00,43280.00,0.53,0.15,0.85,6471.75,10253.58,10240140,0.146488,0.534150,0.848110
010250141,01,025,0141,Ciudad Autónoma de Bs.As.,San Luis Gonzaga,0141,3267.00,8861.00,17331.00,20514.00,16548.00,0.54,0.20,0.84,5001.50,13197.33,10250141,0.197426,0.535473,0.844838
010250142,01,025,0142,Ciudad Autónoma de Bs.As.,San Luis Gonzaga,0142,3977.00,11184.00,21147.00,25092.00,20206.00,0.55,0.20,0.84,6357.75,13571.83,10250142,0.196823,0.553499,0.842779
010260143,01,026,0143,Ciudad Autónoma de Bs.As.,San José,0143,3367.00,11535.00,21438.00,25506.00,20487.00,0.56,0.16,0.84,7747.50,14516.33,10260143,0.164348,0.563040,0.840508
010150144,01,015,0144,Ciudad Autónoma de Bs.As.,San Bernardo,0144,2540.00,9524.00,18499.00,22340.00,17732.00,0.54,0.14,0.83,8763.50,14307.33,10150144,0.143244,0.537108,0.828066
010150145,01,015,0145,Ciudad Autónoma de Bs.As.,San Bernardo,0145,2445.00,7605.00,14768.00,18036.00,14042.00,0.54,0.17,0.82,9788.00,15200.83,10150145,0.174120,0.541590,0.818807
010150146,01,015,0146,Ciudad Autónoma de Bs.As.,San Bernardo,0146,1042.00,4372.00,8425.00,10195.00,8094.00,0.54,0.13,0.83,10708.75,13733.08,10150146,0.128737,0.540153,0.826385
010150147,01,015,0147,Ciudad Autónoma de Bs.As.,San Bernardo,0147,2612.00,13792.00,23087.00,28935.00,22148.00,0.62,0.12,0.80,11786.50,13134.08,10150147,0.117934,0.622720,0.797892
010150148,01,015,0148,Ciudad Autónoma de Bs.As.,San Bernardo,0148,2059.00,9180.00,16371.00,20275.00,15605.00,0.59,0.13,0.81,11063.00,12901.08,10150148,0.131945,0.588273,0.807448
010260149,01,026,0149,Ciudad Autónoma de Bs.As.,San José,0149,3349.00,14390.00,27437.00,33957.00,25995.00,0.55,0.13,0.81,9978.25,13073.58,10260149,0.128832,0.553568,0.807992
010260150,01,026,0150,Ciudad Autónoma de Bs.As.,San José,0150,4080.00,16395.00,30466.00,37104.00,29180.00,0.56,0.14,0.82,8272.00,11479.08,10260150,0.139822,0.561857,0.821097
010270151,01,027,0151,Ciudad Autónoma de Bs.As.,Nuestra Señora del Carmen,0151,3854.00,13803.00,26398.00,31499.00,25337.00,0.54,0.15,0.84,5971.00,16397.84,10270151,0.152110,0.544776,0.838058
010270152,01,027,0152,Ciudad Autónoma de Bs.As.,Nuestra Señora del Carmen,0152,1683.00,5946.00,11589.00,13580.00,11124.00,0.53,0.15,0.85,7559.25,15316.08,10270152,0.151294,0.534520,0.853387
010270153,01,027,0153,Ciudad Autónoma de Bs.As.,Nuestra Señora del Carmen,0153,2915.00,8753.00,16632.00,19393.00,15664.00,0.56,0.19,0.86,7895.50,15782.33,10270153,0.186096,0.558797,0.857629
010270154,01,027,0154,Ciudad Autónoma de Bs.As.,Nuestra Señora del Carmen,0154,1815.00,5632.00,11377.00,13521.00,10946.00,0.51,0.17,0.84,7160.50,16659.09,10270154,0.165814,0.514526,0.841432
010280155,01,028,0155,Ciudad Autónoma de Bs.As.,Saavedra,0155,2431.00,8891.00,17653.00,20786.00,16560.00,0.54,0.15,0.85,7805.25,17534.09,10280155,0.146800,0.536896,0.849274
010280156,01,028,0156,Ciudad Autónoma de Bs.As.,Saavedra,0156,1721.00,5596.00,10896.00,13221.00,10422.00,0.54,0.17,0.82,9086.00,16234.58,10280156,0.165131,0.536941,0.824143
010280157,01,028,0157,Ciudad Autónoma de Bs.As.,Saavedra,0157,2179.00,4439.00,8869.00,10777.00,8415.00,0.53,0.26,0.82,9443.23,16845.84,10280157,0.258942,0.527510,0.822956
010280158,01,028,0158,Ciudad Autónoma de Bs.As.,Saavedra,0158,2956.00,9002.00,18358.00,21665.00,17646.00,0.51,0.17,0.85,8457.50,17794.34,10280158,0.167517,0.510144,0.847357
010280159,01,028,0159,Ciudad Autónoma de Bs.As.,Saavedra,0159,2959.00,9282.00,18069.00,21041.00,16926.00,0.55,0.17,0.86,9072.50,18112.09,10280159,0.174820,0.548387,0.858752
010280160,01,028,0160,Ciudad Autónoma de Bs.As.,Saavedra,0160,4296.00,8631.00,17090.00,20807.00,16286.00,0.53,0.26,0.82,9921.00,17448.59,10280160,0.263785,0.529964,0.821358
010160161,01,016,0161,Ciudad Autónoma de Bs.As.,Belgrano,0161,5397.00,12017.00,23473.00,29038.00,22426.00,0.54,0.24,0.81,10566.75,17175.84,10160161,0.240658,0.535851,0.808355
010160162,01,016,0162,Ciudad Autónoma de Bs.As.,Belgrano,0162,5324.00,14656.00,27669.00,33946.00,26550.00,0.55,0.20,0.82,9255.75,19549.84,10160162,0.200527,0.552015,0.815089
010160163,01,016,0163,Ciudad Autónoma de Bs.As.,Belgrano,0163,4419.00,7628.00,15944.00,19435.00,15254.00,0.50,0.29,0.82,11239.75,17487.84,10160163,0.289695,0.500066,0.820376
010160164,01,016,0164,Ciudad Autónoma de Bs.As.,Belgrano,0164,3342.00,8181.00,16079.00,19873.00,15405.00,0.53,0.22,0.81,10136.75,18677.34,10160164,0.216943,0.531061,0.809088
010160165,01,016,0165,Ciudad Autónoma de Bs.As.,Belgrano,0165,2687.00,4755.00,10713.00,13636.00,10234.00,0.46,0.26,0.79,11608.25,19622.84,10160165,0.262556,0.464628,0.785641
010170166,01,017,0166,Ciudad Autónoma de Bs.As.,Palermo,0166,7371.00,9712.00,21815.00,26787.00,20790.00,0.47,0.35,0.81,11494.25,16854.84,10170166,0.354545,0.467148,0.814388
010170167,01,017,0167,Ciudad Autónoma de Bs.As.,Palermo,0167,3439.00,6736.00,13159.00,16361.00,12612.00,0.53,0.27,0.80,10782.00,16183.58,10170167,0.272677,0.534095,0.804291
010170168,01,017,0168,Ciudad Autónoma de Bs.As.,Palermo,0168,1650.00,2965.00,6284.00,7688.00,6021.00,0.49,0.27,0.82,9713.50,16348.83,10170168,0.274041,0.492443,0.817378
010170169,01,017,0169,Ciudad Autónoma de Bs.As.,Palermo,0169,1287.00,4274.00,8389.00,10230.00,8037.00,0.53,0.16,0.82,10568.75,15646.08,10170169,0.160134,0.531790,0.820039
010170170,01,017,0170,Ciudad Autónoma de Bs.As.,Palermo,0170,2270.00,5589.00,10641.00,13062.00,10185.00,0.55,0.22,0.81,11514.50,16566.84,10170170,0.222877,0.548748,0.814653
010170171,01,017,0171,Ciudad Autónoma de Bs.As.,Palermo,0171,4366.00,5677.00,13166.00,16231.00,12528.00,0.45,0.35,0.81,11957.50,17520.09,10170171,0.348499,0.453145,0.811164
010170172,01,017,0172,Ciudad Autónoma de Bs.As.,Palermo,0172,2640.00,4201.00,9905.00,12525.00,9403.00,0.45,0.28,0.79,12747.50,16680.34,10170172,0.280761,0.446772,0.790818
010170173,01,017,0173,Ciudad Autónoma de Bs.As.,Palermo,0173,2297.00,5662.00,11464.00,14213.00,10969.00,0.52,0.21,0.81,11965.50,16321.08,10170173,0.209408,0.516182,0.806586
010170174,01,017,0174,Ciudad Autónoma de Bs.As.,Palermo,0174,1344.00,4947.00,9950.00,12487.00,9445.00,0.52,0.14,0.80,11585.75,14518.33,10170174,0.142298,0.523769,0.796829
010170175,01,017,0175,Ciudad Autónoma de Bs.As.,Palermo,0175,868.00,3292.00,6780.00,8389.00,6499.00,0.51,0.13,0.81,12017.75,14977.58,10170175,0.133559,0.506539,0.808201
010170176,01,017,0176,Ciudad Autónoma de Bs.As.,Palermo,0176,976.00,3241.00,6533.00,8112.00,6228.00,0.52,0.16,0.81,12727.00,15204.08,10170176,0.156712,0.520392,0.805350
010170177,01,017,0177,Ciudad Autónoma de Bs.As.,Palermo,0177,1965.00,5026.00,10051.00,12527.00,9561.00,0.53,0.21,0.80,12497.50,15903.08,10170177,0.205522,0.525677,0.802347
010180178,01,018,0178,Ciudad Autónoma de Bs.As.,Las Heras,0178,2118.00,1525.00,4952.00,6317.00,4756.00,0.32,0.45,0.78,15514.75,15365.58,10180178,0.445332,0.320648,0.783916
010180179,01,018,0179,Ciudad Autónoma de Bs.As.,Las Heras,0179,1484.00,2430.00,5437.00,7059.00,5199.00,0.47,0.29,0.77,14349.25,15494.58,10180179,0.285440,0.467398,0.770222
010180180,01,018,0180,Ciudad Autónoma de Bs.As.,Las Heras,0180,5261.00,7361.00,16330.00,19877.00,15318.00,0.48,0.34,0.82,15156.50,15456.83,10180180,0.343452,0.480546,0.821553
010180181,01,018,0181,Ciudad Autónoma de Bs.As.,Las Heras,0181,3777.00,6418.00,13590.00,16999.00,12904.00,0.50,0.29,0.80,14741.75,15028.58,10180181,0.292700,0.497365,0.799459
010180182,01,018,0182,Ciudad Autónoma de Bs.As.,Las Heras,0182,4414.00,12437.00,22745.00,28296.00,21774.00,0.57,0.20,0.80,14360.75,14180.58,10180182,0.202719,0.571186,0.803824
010180183,01,018,0183,Ciudad Autónoma de Bs.As.,Las Heras,0183,2800.00,7866.00,15425.00,19249.00,14433.00,0.55,0.19,0.80,13500.50,15284.33,10180183,0.194000,0.545001,0.801340
010180184,01,018,0184,Ciudad Autónoma de Bs.As.,Las Heras,0184,712.00,2474.00,4977.00,6399.00,4733.00,0.52,0.15,0.78,13020.50,14919.08,10180184,0.150433,0.522713,0.777778
010180185,01,018,0185,Ciudad Autónoma de Bs.As.,Las Heras,0185,935.00,3434.00,6395.00,7904.00,6095.00,0.56,0.15,0.81,13844.50,13643.08,10180185,0.153404,0.563413,0.809084
010180186,01,018,0186,Ciudad Autónoma de Bs.As.,Las Heras,0186,778.00,2795.00,5397.00,6691.00,5125.00,0.55,0.15,0.81,13559.00,14513.08,10180186,0.151805,0.545366,0.806606
010180187,01,018,0187,Ciudad Autónoma de Bs.As.,Las Heras,0187,1001.00,3920.00,7410.00,9429.00,7079.00,0.55,0.14,0.79,12914.00,13713.83,10180187,0.141404,0.553751,0.785873
010180188,01,018,0188,Ciudad Autónoma de Bs.As.,Las Heras,0188,532.00,2026.00,4039.00,5208.00,3837.00,0.53,0.14,0.78,12712.00,14239.83,10180188,0.138650,0.528017,0.775538
010180189,01,018,0189,Ciudad Autónoma de Bs.As.,Las Heras,0189,749.00,3614.00,6722.00,8315.00,6149.00,0.59,0.12,0.81,12308.50,13828.08,10180189,0.121808,0.587738,0.808419
010180190,01,018,0190,Ciudad Autónoma de Bs.As.,Las Heras,0190,1300.00,6097.00,10156.00,12955.00,9782.00,0.62,0.13,0.78,12206.50,13490.58,10180190,0.132897,0.623288,0.783944
010190191,01,019,0191,Ciudad Autónoma de Bs.As.,Pilar,0191,1140.00,3404.00,6441.00,8015.00,6143.00,0.55,0.19,0.80,14321.50,13548.33,10190191,0.185577,0.554127,0.803618
010190192,01,019,0192,Ciudad Autónoma de Bs.As.,Pilar,0192,2987.00,6909.00,13094.00,16579.00,12554.00,0.55,0.24,0.79,15017.00,14336.83,10190192,0.237932,0.550343,0.789794
010190193,01,019,0193,Ciudad Autónoma de Bs.As.,Pilar,0193,3209.00,6383.00,12808.00,15460.00,11999.00,0.53,0.27,0.83,15128.50,14503.33,10190193,0.267439,0.531961,0.828461
010190194,01,019,0194,Ciudad Autónoma de Bs.As.,Pilar,0194,3151.00,3376.00,8375.00,10843.00,8016.00,0.42,0.39,0.77,15351.25,15121.33,10190194,0.393089,0.421158,0.772388
010190195,01,019,0195,Ciudad Autónoma de Bs.As.,Pilar,0195,2711.00,3191.00,7816.00,9906.00,7481.00,0.43,0.36,0.79,16047.50,14506.58,10190195,0.362385,0.426547,0.789017
010190196,01,019,0196,Ciudad Autónoma de Bs.As.,Pilar,0196,4860.00,8663.00,17884.00,22740.00,17112.00,0.51,0.28,0.79,15552.75,14630.58,10190196,0.284011,0.506253,0.786456
010190197,01,019,0197,Ciudad Autónoma de Bs.As.,Pilar,0197,3213.00,8530.00,16317.00,20687.00,15607.00,0.55,0.21,0.79,15230.50,14106.58,10190197,0.205869,0.546550,0.788756
010190198,01,019,0198,Ciudad Autónoma de Bs.As.,Pilar,0198,2566.00,5442.00,10644.00,13888.00,10171.00,0.54,0.25,0.77,15809.00,13562.33,10190198,0.252286,0.535051,0.766417
010190199,01,019,0199,Ciudad Autónoma de Bs.As.,Pilar,0199,2469.00,3852.00,8812.00,11674.00,8336.00,0.46,0.30,0.75,16010.25,13813.58,10190199,0.296185,0.462092,0.754840
010190200,01,019,0200,Ciudad Autónoma de Bs.As.,Pilar,0200,3445.00,3886.00,9596.00,12435.00,9185.00,0.42,0.38,0.77,15963.50,14012.58,10190200,0.375068,0.423081,0.771693
010190201,01,019,0201,Ciudad Autónoma de Bs.As.,Pilar,0201,4693.00,3934.00,11070.00,14344.00,10580.00,0.37,0.44,0.77,16226.25,14561.58,10190201,0.443573,0.371834,0.771751
010200202,01,020,0202,Ciudad Autónoma de Bs.As.,Socorro,0202,2416.00,1778.00,5639.00,7235.00,5408.00,0.33,0.45,0.78,17257.25,14408.33,10200202,0.446746,0.328772,0.779406
010200203,01,020,0203,Ciudad Autónoma de Bs.As.,Socorro,0203,4547.00,2787.00,9272.00,12069.00,8873.00,0.31,0.51,0.77,17113.75,14327.33,10200203,0.512454,0.314099,0.768249
010200204,01,020,0204,Ciudad Autónoma de Bs.As.,Socorro,0204,3781.00,2607.00,8438.00,10705.00,8036.00,0.32,0.47,0.79,16707.50,13993.58,10200204,0.470508,0.324415,0.788230
010200205,01,020,0205,Ciudad Autónoma de Bs.As.,Socorro,0205,2498.00,2947.00,7759.00,10008.00,7153.00,0.41,0.35,0.78,16852.00,13602.33,10200205,0.349224,0.411995,0.775280
010200206,01,020,0206,Ciudad Autónoma de Bs.As.,Socorro,0206,2482.00,3169.00,7521.00,9948.00,7193.00,0.44,0.35,0.76,17431.00,13773.08,10200206,0.345058,0.440567,0.756031
010200207,01,020,0207,Ciudad Autónoma de Bs.As.,Socorro,0207,1720.00,2241.00,5664.00,7995.00,5426.00,0.41,0.32,0.71,17764.75,13783.08,10200207,0.316992,0.413011,0.708443
010200208,01,020,0208,Ciudad Autónoma de Bs.As.,Socorro,0208,2697.00,2256.00,8144.00,11065.00,7804.00,0.29,0.35,0.74,17154.00,15195.58,10200208,0.345592,0.289083,0.736014
010200209,01,020,0209,Ciudad Autónoma de Bs.As.,Socorro,0209,374.00,649.00,1592.00,2388.00,1530.00,0.42,0.24,0.67,18453.50,13592.08,10200209,0.244444,0.424183,0.666667
