NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,STFIPS,COFIPS,FIPSNO,HR8187,HR8791,HR9195,HC8187,HC8791,HC9195,PO8187,PO8791,PO9195,PE77,PE82,PE87,RDAC80,RDAC85,RDAC90
Cherokee,Texas,48,073,48073,48,73,48073,7.907980,7.325757,9.253667,22,15,19,278200,204757,205324,3.033655,4.281802,4.352885,0.460853,0.660736,0.727508
Anderson,Texas,48,001,48001,48,1,48001,14.465779,10.041757,13.357998,45,24,33,311079,239002,247043,3.954311,2.633763,3.778007,0.548161,0.596329,0.538644
Nacogdoches,Texas,48,347,48347,48,347,48347,11.835287,10.364075,6.853515,42,28,19,354871,270164,277230,3.868018,2.970701,3.685050,0.819501,0.799279,0.709012
San Augustine,Texas,48,405,48405,48,405,48405,4.948454,12.246797,12.570394,3,5,5,60625,40827,39776,3.291492,2.911342,3.010903,1.674813,1.855135,1.936858
Leon,Texas,48,289,48289,48,289,48289,14.367816,9.423442,9.034104,12,6,6,83520,63671,66415,1.137513,1.996711,2.756774,1.439231,0.858531,0.370418
Sabine,Texas,48,403,48403,48,403,48403,6.159627,6.272083,6.041688,4,3,3,64939,47831,49655,3.776854,2.283007,3.267337,0.992004,0.878688,0.736697
Houston,Texas,48,225,48225,48,225,48225,10.993772,14.782103,12.880077,17,16,14,154633,108239,108695,1.466948,3.001959,2.969982,1.891080,1.744182,1.503662
Angelina,Texas,48,005,48005,48,5,48005,11.138970,13.241868,11.739781,53,46,43,475807,347383,366276,2.857548,2.756036,3.316669,-0.242458,0.151097,0.409208
Trinity,Texas,48,455,48455,48,455,48455,5.294927,6.968763,8.427724,4,4,5,75544,57399,59328,3.171355,5.247813,3.661501,1.087388,1.189143,1.180897
Robertson,Texas,48,395,48395,48,395,48395,18.067827,6.426818,9.059847,20,5,7,110694,77799,77264,3.195858,3.307619,2.838532,1.835130,1.640816,1.392960
Newton,Texas,48,351,48351,48,351,48351,17.010419,14.771922,11.609177,16,10,8,94060,67696,68911,2.179784,2.699552,2.694055,0.570523,0.882692,1.101042
Jasper,Texas,48,241,48241,48,241,48241,9.867462,8.292086,7.523086,22,13,12,222955,156776,159509,2.346130,2.741406,3.884940,0.206301,0.378166,0.482549
Polk,Texas,48,373,48373,48,373,48373,13.304881,12.486610,8.856660,26,19,16,195417,152163,180655,2.814291,2.968632,2.665794,0.862323,0.875604,0.826828
Milam,Texas,48,331,48331,48,331,48331,7.232793,8.643266,8.573829,12,10,10,165911,115697,116634,3.630692,3.330113,3.105418,0.454535,0.640152,0.793834
Madison,Texas,48,313,48313,48,313,48313,11.164868,3.599323,12.257477,9,2,7,80610,55566,57108,1.408712,2.575538,3.615169,0.955472,1.293085,1.442283
Tyler,Texas,48,457,48457,48,457,48457,8.406823,10.684268,14.159832,10,9,13,118951,84236,91809,3.051392,3.539538,2.512471,0.282577,0.388523,0.446624
Walker,Texas,48,471,48471,48,471,48471,8.280912,7.003455,7.158682,28,18,19,338127,257016,265412,0.930031,2.469025,2.040667,0.589728,0.653627,0.593289
Brazos,Texas,48,041,48041,48,41,48041,6.713539,5.738674,4.221474,55,35,27,819240,609897,639587,4.569980,5.900090,8.662692,-0.193221,0.179076,0.385323
Williamson,Texas,48,491,48491,48,491,48491,4.317416,2.951890,3.172484,31,20,26,718022,677532,819547,2.545773,2.252214,2.588860,-1.079412,-0.947081,-0.919943
San Jacinto,Texas,48,407,48407,48,407,48407,9.315420,12.481901,8.909976,9,10,8,96614,80116,89787,2.709677,3.551063,3.085136,0.694314,0.801253,0.841892
Grimes,Texas,48,185,48185,48,185,48185,12.900209,8.447908,3.951320,16,8,4,124029,94698,101232,4.430979,5.168694,3.851918,1.885129,1.391038,0.922021
Burleson,Texas,48,051,48051,48,51,48051,7.909984,4.321272,13.895064,8,3,10,101138,69424,71968,4.188482,4.241327,2.967792,0.524444,0.665436,0.717510
Montgomery,Texas,48,339,48339,48,339,48339,10.170381,9.763389,6.658302,114,87,71,1120902,891084,1066338,2.186263,3.016166,4.301663,-1.208397,-0.814275,-0.544934
Lee,Texas,48,287,48287,48,287,48287,6.205976,10.586011,8.939480,6,7,6,96681,66125,67118,8.021390,4.348141,6.136555,0.323585,0.294806,0.209220
Hardin,Texas,48,199,48199,48,199,48199,11.152341,8.694980,4.037631,33,18,9,295902,207016,222903,2.581249,3.353264,4.682527,-0.816766,-0.495807,-0.212252
Calcasieu,Louisiana,22,019,22019,22,19,22019,7.852401,10.636651,11.578765,95,90,100,1209821,846131,863650,4.693050,4.747948,6.399580,-0.322774,0.225076,0.633751
Jefferson Davis,Louisiana,22,053,22053,22,53,22053,7.407666,5.741847,7.685607,17,9,12,229492,156744,156136,6.164921,6.473244,8.784773,0.400846,0.957979,1.325118
Liberty,Texas,48,291,48291,48,291,48291,14.347474,11.003730,9.459147,53,29,27,369403,263547,285438,3.391499,3.652131,4.839363,-0.281430,-0.022468,0.161511
Bastrop,Texas,48,021,48021,48,21,48021,10.588033,8.334896,7.783729,24,16,16,226671,191964,205557,3.226132,3.570616,3.085940,0.599462,0.309427,0.054770
Washington,Texas,48,477,48477,48,477,48477,6.803492,6.093103,2.947353,12,8,4,176380,131296,135715,2.015177,3.753328,3.564090,0.597448,0.438911,0.221269
Waller,Texas,48,473,48473,48,473,48473,10.630714,11.926465,9.624176,17,14,12,159914,117386,124686,3.974197,3.632075,3.222418,0.436317,0.738448,0.900258
Orange,Texas,48,361,48361,48,361,48361,9.572640,9.392828,7.677027,57,38,32,595447,404564,416828,3.388480,3.653034,5.017136,-1.124996,-0.609787,-0.149538
Jefferson,Texas,48,245,48245,48,245,48245,12.715937,13.053159,14.581965,224,157,178,1761569,1202774,1220686,4.353547,6.478254,4.894164,-0.058229,0.417075,0.784341
Fayette,Texas,48,149,48149,48,149,48149,6.118661,7.786949,3.876871,9,8,4,147091,102736,103176,2.557450,4.274633,4.410017,0.459632,0.324635,0.193779
Harris,Texas,48,201,48201,48,201,48201,23.572686,21.206444,18.839360,4495,2965,2831,19068680,13981599,15027050,5.857145,5.463577,5.656674,-0.478730,-0.057745,0.194976
Vermilion,Louisiana,22,113,22113,22,113,22113,7.489785,7.503831,5.540583,27,19,14,360491,253204,252681,5.063869,3.724232,5.115547,0.371481,0.944875,1.297766
Austin,Texas,48,015,48015,48,15,48015,6.412266,9.048591,4.682349,9,9,5,140356,99463,106784,3.215637,3.059307,5.211161,0.076842,0.024231,-0.068514
Caldwell,Texas,48,055,48055,48,55,48055,5.524404,4.471139,4.324761,10,6,6,181015,134194,138736,2.042435,2.921511,3.281930,0.898744,1.028342,1.001060
Cameron,Louisiana,22,023,22023,22,23,22023,12.959523,4.232267,0.000000,9,2,0,69447,47256,44851,8.378240,6.521832,11.621335,-0.432603,-0.244096,-0.115463
Colorado,Texas,48,089,48089,48,89,48089,9.275445,6.402595,5.403419,13,6,5,140155,93712,92534,3.862151,4.828269,4.821160,0.872330,0.783118,0.604722
Chambers,Texas,48,071,48071,48,71,48071,9.996002,14.045226,9.513481,14,14,10,140056,99678,105114,1.788408,2.935120,3.342102,-0.365090,-0.455827,-0.550500
Fort Bend,Texas,48,157,48157,48,157,48157,10.411950,7.129009,7.116201,129,77,95,1238961,1080094,1334982,3.690897,5.666102,5.521569,-1.269864,-1.121582,-1.071379
Gonzales,Texas,48,177,48177,48,177,48177,11.617370,18.112046,13.873955,15,16,12,129117,88339,86493,3.125751,3.014417,4.503577,0.948907,1.146459,1.212031
Lavaca,Texas,48,285,48285,48,285,48285,5.891146,10.564013,2.139976,8,10,2,135797,94661,93459,4.690903,4.977924,4.964291,0.264682,0.235109,0.203795
Wharton,Texas,48,481,48481,48,481,48481,9.725599,10.973171,7.505329,28,22,15,287900,200489,199858,2.437318,3.441401,4.505749,0.171017,0.442940,0.634828
Brazoria,Texas,48,039,48039,48,39,48039,9.549749,5.160089,6.252495,123,49,65,1287992,949596,1039585,3.575206,4.520590,5.224305,-1.453118,-1.198485,-0.950027
Galveston,Texas,48,167,48167,48,167,48167,14.143008,13.932790,15.754234,209,150,182,1477762,1076597,1155245,3.305299,3.571740,3.971507,-0.490461,-0.095531,0.190423
De Witt,Texas,48,123,48123,48,123,48123,8.733752,7.419577,5.383058,12,7,5,137398,94345,92884,2.003740,2.448042,2.728251,0.995315,0.892682,0.756195
Jackson,Texas,48,239,48239,48,239,48239,9.246892,6.066489,6.023189,9,4,4,97330,65936,66410,2.300922,2.759805,2.999516,0.286482,0.469535,0.612975
Matagorda,Texas,48,321,48321,48,321,48321,12.391754,10.964512,12.576573,34,21,24,274376,191527,190831,2.938673,3.961252,4.548098,-0.558058,-0.054901,0.363986
Victoria,Texas,48,469,48469,48,469,48469,6.481487,6.431695,6.378023,34,24,25,524571,373152,391971,3.370787,4.551944,5.924703,-0.518544,-0.189739,0.039206
Calhoun,Texas,48,057,48057,48,57,48057,8.196441,8.207738,4.941249,12,8,5,146405,97469,101189,3.227412,2.861965,3.672106,-0.595351,-0.243009,0.030365
