ADM1,ADM0,CODDEPT,TP1973,UP1973,RP1973,TP1985,UP1985,RP1985,TP1993,UP1993,RP1993,MALARI98,TP1995,UP1995,RP1995,TP1996,UP1996,RP1996,TP1997,UP1997,RP1997,TP1998,UP1998,RP1998,TP1999,UP1999,RP1999,TP2000,UP2000,RP2000,TP2001,UP2001,RP2001,TP2002,UP2002,RP2002,TP2003,UP2003,RP2003,TP2004,UP2004,RP2004,TP2005,UP2005,RP2005
Amazonas,COLOMBIA,91,15687.0000,5849.0000,2462.0000,39937.0000,20279.0000,19658.0000,56399.0000,20544.0000,35855.0000,1536.0000,60878.0000,22444.0000,38434.0000,62823.0000,23326.0000,39497.0000,64735.0000,24206.0000,40529.0000,66638.0000,25093.0000,41545.0000,68569.0000,25999.0000,42570.0000,70489.0000,26912.0000,43577.0000,72445.0000,27848.0000,44597.0000,74403.0000,28796.0000,45607.0000,76381.0000,29762.0000,46619.0000,78403.0000,30757.0000,47646.0000,80487.0000,31784.0000,48703.0000
Antioquia,COLOMBIA,05,3176695.0000,1996678.0000,1180012.0000,4067663.0000,2687709.0000,1379954.0000,4919619.0000,3439311.0000,1480308.0000,23946.0000,4987824.0000,3523284.0000,1464540.0000,5065232.0000,3593197.0000,1472035.0000,5133439.0000,3663997.0000,1469442.0000,5211843.0000,3735512.0000,1476331.0000,5289860.0000,3807439.0000,1482421.0000,5367221.0000,3879632.0000,1487589.0000,5444134.0000,3952117.0000,1492017.0000,5521056.0000,4025269.0000,1495787.0000,5597894.0000,4098731.0000,1499163.0000,5674169.0000,4172454.0000,1501715.0000,5750057.0000,4246517.0000,1503540.0000
Arauca,COLOMBIA,81,46605.0000,18887.0000,27718.0000,89972.0000,48729.0000,41243.0000,185882.0000,94181.0000,91701.0000,1694.0000,198720.0000,101906.0000,96814.0000,207099.0000,106959.0000,100140.0000,215410.0000,112037.0000,103373.0000,223681.0000,117154.0000,106527.0000,232013.0000,122365.0000,109648.0000,240190.0000,127554.0000,112636.0000,248440.0000,132841.0000,115599.0000,256664.0000,138174.0000,118490.0000,264888.0000,143568.0000,121320.0000,273136.0000,149034.0000,124102.0000,281435.0000,154588.0000,126847.0000
Atlantico,COLOMBIA,08,1028934.0000,954945.0000,73989.0000,1478213.0000,1392480.0000,85733.0000,1837468.0000,1712321.0000,125147.0000,55.0000,1902878.0000,1774795.0000,128083.0000,1946374.0000,1816143.0000,130231.0000,1990465.0000,1858082.0000,132383.0000,2035351.0000,1900805.0000,134546.0000,2081038.0000,1944315.0000,136723.0000,2127567.0000,1988647.0000,138920.0000,2174929.0000,2033795.0000,141134.0000,2223229.0000,2079869.0000,143360.0000,2272170.0000,2126584.0000,145586.0000,2321446.0000,2173654.0000,147792.0000,2370753.0000,2220795.0000,149958.0000
Bogota,COLOMBIA,11,2861913.0000,2845361.0000,16552.0000,4236490.0000,4227706.0000,8784.0000,5484244.0000,5469105.0000,15139.0000,191.0000,5678342.0000,5663125.0000,15217.0000,5815511.0000,5800216.0000,15295.0000,5956995.0000,5941626.0000,15369.0000,6112196.0000,6096732.0000,15464.0000,6276428.0000,6260862.0000,15566.0000,6437842.0000,6422198.0000,15644.0000,6573291.0000,6557581.0000,15710.0000,6712247.0000,6696473.0000,15774.0000,6865997.0000,6850205.0000,15792.0000,7029928.0000,7014111.0000,15817.0000,7185889.0000,7170008.0000,15881.0000
Bolivar,COLOMBIA,13,980606.0000,558619.0000,397898.0000,1288984.0000,852455.0000,436529.0000,1702188.0000,1092578.0000,609610.0000,0.0000,1766388.0000,1162006.0000,604382.0000,1775143.0000,1196149.0000,578994.0000,1811157.0000,1231247.0000,579910.0000,1849901.0000,1266590.0000,583311.0000,1895068.0000,1298802.0000,596266.0000,1940069.0000,1334548.0000,605521.0000,1985383.0000,1370737.0000,614646.0000,2030904.0000,1407276.0000,623628.0000,2076547.0000,1444126.0000,632421.0000,2122223.0000,1481230.0000,640993.0000,2167869.0000,1518528.0000,649341.0000
Boyaca,COLOMBIA,15,1039822.0000,323782.0000,716040.0000,1209739.0000,427359.0000,782380.0000,1315579.0000,531111.0000,784468.0000,698.0000,1312732.0000,541344.0000,771388.0000,1323093.0000,551967.0000,771126.0000,1333677.0000,562773.0000,770904.0000,1344148.0000,573635.0000,770513.0000,1354669.0000,584626.0000,770043.0000,1365110.0000,595677.0000,769433.0000,1375222.0000,606684.0000,768538.0000,1385184.0000,617717.0000,767467.0000,1394952.0000,628770.0000,766182.0000,1404309.0000,639723.0000,764586.0000,1413064.0000,650496.0000,762568.0000
Caldas,COLOMBIA,17,744221.0000,409642.0000,334579.0000,883024.0000,536410.0000,346614.0000,1030062.0000,638174.0000,391888.0000,143.0000,1042284.0000,650502.0000,391782.0000,1055143.0000,660927.0000,394216.0000,1068146.0000,671508.0000,396638.0000,1081288.0000,682229.0000,399059.0000,1094451.0000,693022.0000,401429.0000,1107627.0000,703881.0000,403746.0000,1120692.0000,714726.0000,405966.0000,1133791.0000,725653.0000,408138.0000,1146846.0000,736611.0000,410235.0000,1159779.0000,747545.0000,412234.0000,1172510.0000,758405.0000,414105.0000
Caqueta,COLOMBIA,18,174714.0000,49743.0000,124971.0000,258616.0000,112395.0000,146221.0000,367898.0000,158952.0000,208946.0000,2657.0000,378511.0000,166680.0000,211831.0000,386157.0000,171648.0000,214509.0000,384909.0000,176394.0000,208515.0000,392760.0000,181557.0000,211203.0000,401002.0000,186966.0000,214036.0000,409466.0000,192544.0000,216922.0000,418122.0000,198285.0000,219837.0000,426986.0000,204188.0000,222798.0000,436035.0000,210258.0000,225777.0000,445281.0000,216491.0000,228790.0000,454671.0000,222874.0000,231797.0000
Casanare,COLOMBIA,85,91318.0000,19922.0000,71396.0000,147472.0000,47636.0000,97203.0000,211329.0000,93470.0000,117859.0000,76.0000,245839.0000,110054.0000,135785.0000,253682.0000,114374.0000,139308.0000,261576.0000,118762.0000,142814.0000,269508.0000,123223.0000,146285.0000,277540.0000,127778.0000,149762.0000,285416.0000,132313.0000,153103.0000,293391.0000,136942.0000,156449.0000,301387.0000,141636.0000,159751.0000,309398.0000,146385.0000,163013.0000,317406.0000,151184.0000,166222.0000,325389.0000,156023.0000,169366.0000
Cauca,COLOMBIA,19,716855.0000,194857.0000,521998.0000,857751.0000,297140.0000,560611.0000,1127678.0000,391934.0000,735744.0000,1144.0000,1151840.0000,406373.0000,745467.0000,1171747.0000,416493.0000,755254.0000,1186544.0000,426949.0000,759595.0000,1207071.0000,437605.0000,769466.0000,1227993.0000,448527.0000,779466.0000,1249258.0000,459689.0000,789569.0000,1270862.0000,471106.0000,799756.0000,1292794.0000,482768.0000,810026.0000,1315040.0000,494682.0000,820358.0000,1337620.0000,506843.0000,830777.0000,1360420.0000,519229.0000,841191.0000
Cesar,COLOMBIA,20,470055.0000,227749.0000,223765.0000,699428.0000,360584.0000,338844.0000,827219.0000,499996.0000,327223.0000,88.0000,876779.0000,534820.0000,341959.0000,892992.0000,547286.0000,345706.0000,909626.0000,560104.0000,349522.0000,926587.0000,573221.0000,353366.0000,943892.0000,586651.0000,357241.0000,961535.0000,600386.0000,361149.0000,979443.0000,614384.0000,365059.0000,997577.0000,628634.0000,368943.0000,1015889.0000,643096.0000,372793.0000,1034435.0000,657807.0000,376628.0000,1053123.0000,672712.0000,380411.0000
Choco,COLOMBIA,27,251223.0000,65593.0000,185630.0000,313567.0000,107731.0000,205836.0000,406199.0000,146062.0000,260137.0000,80560.0000,402528.0000,149875.0000,252653.0000,403266.0000,151301.0000,251965.0000,396418.0000,151688.0000,244730.0000,397336.0000,152933.0000,244403.0000,398415.0000,154236.0000,244179.0000,399560.0000,155578.0000,243982.0000,400844.0000,156977.0000,243867.0000,402374.0000,158476.0000,243898.0000,404073.0000,160055.0000,244018.0000,406099.0000,161773.0000,244326.0000,408470.0000,163631.0000,244839.0000
Cordoba,COLOMBIA,23,734424.0000,273425.0000,460999.0000,1013247.0000,425423.0000,587824.0000,1275623.0000,585661.0000,689962.0000,13415.0000,1248353.0000,581449.0000,666904.0000,1263361.0000,592643.0000,670718.0000,1249057.0000,601164.0000,647893.0000,1263430.0000,611724.0000,651706.0000,1277578.0000,622245.0000,655333.0000,1291782.0000,632860.0000,658922.0000,1306000.0000,643550.0000,662450.0000,1320126.0000,654262.0000,665864.0000,1334307.0000,665072.0000,669235.0000,1348591.0000,675997.0000,672594.0000,1362938.0000,687023.0000,675915.0000
Cundinamarca,COLOMBIA,25,1176003.0000,427691.0000,748312.0000,1512928.0000,674888.0000,838040.0000,1875337.0000,1004510.0000,870827.0000,39.0000,1914143.0000,1040205.0000,873938.0000,1956519.0000,1071324.0000,885195.0000,1992336.0000,1102829.0000,889507.0000,2035970.0000,1135263.0000,900707.0000,2079306.0000,1167850.0000,911456.0000,2121887.0000,1200359.0000,921528.0000,2163810.0000,1232813.0000,930997.0000,2204904.0000,1265117.0000,939787.0000,2245004.0000,1297171.0000,947833.0000,2283277.0000,1328451.0000,954826.0000,2318214.0000,1357927.0000,960287.0000
Guajira,COLOMBIA,44,249637.0000,95295.0000,154342.0000,299995.0000,163494.0000,136501.0000,433361.0000,275631.0000,157730.0000,501.0000,442703.0000,287943.0000,154760.0000,426505.0000,292924.0000,133581.0000,434306.0000,298513.0000,135793.0000,442234.0000,304199.0000,138035.0000,450261.0000,309972.0000,140289.0000,458415.0000,315844.0000,142571.0000,466669.0000,321800.0000,144869.0000,475038.0000,327851.0000,147187.0000,483516.0000,333993.0000,149523.0000,492089.0000,340217.0000,151872.0000,500748.0000,346517.0000,154231.0000
Guania,COLOMBIA,94,6337.0000,1493.0000,5144.0000,12345.0000,4244.0000,8101.0000,28290.0000,4425.0000,23865.0000,163.0000,30898.0000,4891.0000,26007.0000,32103.0000,5119.0000,26984.0000,33309.0000,5348.0000,27961.0000,34511.0000,5580.0000,28931.0000,35727.0000,5817.0000,29910.0000,36917.0000,6052.0000,30865.0000,38117.0000,6292.0000,31825.0000,39316.0000,6534.0000,32782.0000,40517.0000,6779.0000,33738.0000,41713.0000,7026.0000,34687.0000,42909.0000,7276.0000,35633.0000
Guaviare,COLOMBIA,95,14452.0000,501.0000,11604.0000,47073.0000,15500.0000,31573.0000,97602.0000,23037.0000,74565.0000,18758.0000,101783.0000,24315.0000,77468.0000,104825.0000,25221.0000,79604.0000,107877.0000,26137.0000,81740.0000,110948.0000,27071.0000,83877.0000,114083.0000,28028.0000,86055.0000,117189.0000,28990.0000,88199.0000,120361.0000,29981.0000,90380.0000,123560.0000,30987.0000,92573.0000,126795.0000,32014.0000,94781.0000,130076.0000,33062.0000,97014.0000,133411.0000,34136.0000,99275.0000
Huila,COLOMBIA,41,486853.0000,242864.0000,243989.0000,693712.0000,360657.0000,333055.0000,843798.0000,488001.0000,355797.0000,2.0000,857549.0000,503320.0000,354229.0000,870377.0000,514592.0000,355785.0000,883637.0000,526236.0000,357401.0000,897165.0000,538152.0000,359013.0000,910949.0000,550349.0000,360600.0000,924968.0000,562802.0000,362166.0000,939136.0000,575473.0000,363663.0000,953426.0000,588343.0000,365083.0000,967831.0000,601417.0000,366414.0000,982263.0000,614631.0000,367632.0000,996617.0000,627919.0000,368698.0000
Magdalena,COLOMBIA,47,720902.0000,291846.0000,429056.0000,890934.0000,410804.0000,480130.0000,1127691.0000,655519.0000,472172.0000,44.0000,1159660.0000,683567.0000,476093.0000,1149434.0000,701855.0000,447579.0000,1174479.0000,721687.0000,452792.0000,1198862.0000,741308.0000,457554.0000,1223051.0000,760989.0000,462062.0000,1246620.0000,780476.0000,466144.0000,1270334.0000,800231.0000,470103.0000,1293723.0000,819962.0000,473761.0000,1317132.0000,839886.0000,477246.0000,1340910.0000,860232.0000,480678.0000,1365408.0000,881217.0000,484191.0000
Meta,COLOMBIA,50,261854.0000,151420.0000,105172.0000,474046.0000,284696.0000,189350.0000,615323.0000,384312.0000,231011.0000,5549.0000,633938.0000,399046.0000,234892.0000,646348.0000,409034.0000,237314.0000,659373.0000,419497.0000,239876.0000,672761.0000,430276.0000,242485.0000,686489.0000,441360.0000,245129.0000,700506.0000,452721.0000,247785.0000,714659.0000,464254.0000,250405.0000,729023.0000,476024.0000,252999.0000,743597.0000,488023.0000,255574.0000,758316.0000,500206.0000,258110.0000,772853.0000,512362.0000,260491.0000
Narino,COLOMBIA,52,882389.0000,325088.0000,557301.0000,1085173.0000,428686.0000,656487.0000,1443671.0000,594578.0000,849093.0000,5665.0000,1482788.0000,621711.0000,861077.0000,1513005.0000,639983.0000,873022.0000,1543075.0000,658418.0000,884657.0000,1572964.0000,676984.0000,895980.0000,1602933.0000,695798.0000,907135.0000,1632093.0000,714481.0000,917612.0000,1661323.0000,733400.0000,927923.0000,1690354.0000,752441.0000,937913.0000,1719162.0000,771586.0000,947576.0000,1747711.0000,790825.0000,956886.0000,1775973.0000,810128.0000,965845.0000
Norte de Santander,COLOMBIA,54,757529.0000,400509.0000,357020.0000,913491.0000,594244.0000,319247.0000,1162524.0000,813631.0000,348893.0000,1097.0000,1199492.0000,862199.0000,337293.0000,1227641.0000,887069.0000,340572.0000,1256713.0000,912790.0000,343923.0000,1286453.0000,939213.0000,347240.0000,1316119.0000,965785.0000,350334.0000,1345697.0000,992497.0000,353200.0000,1375374.0000,1019477.0000,355897.0000,1405297.0000,1046847.0000,358450.0000,1435237.0000,1074430.0000,360807.0000,1464956.0000,1102046.0000,362910.0000,1494219.0000,1129509.0000,364710.0000
Putumayo,COLOMBIA,86,71680.0000,24703.0000,42633.0000,174219.0000,58205.0000,116014.0000,219609.0000,70006.0000,149603.0000,4255.0000,269605.0000,84410.0000,185195.0000,277563.0000,87521.0000,190042.0000,285650.0000,90706.0000,194944.0000,293851.0000,93963.0000,199888.0000,302238.0000,97320.0000,204918.0000,310538.0000,100683.0000,209855.0000,319019.0000,104144.0000,214875.0000,327605.0000,107674.0000,219931.0000,336279.0000,111275.0000,225004.0000,345028.0000,114939.0000,230089.0000,353840.0000,118663.0000,235177.0000
Quindio,COLOMBIA,63,353868.0000,248864.0000,105004.0000,392208.0000,320629.0000,71579.0000,495212.0000,412581.0000,82631.0000,104.0000,509063.0000,425652.0000,83411.0000,519509.0000,435167.0000,84342.0000,530183.0000,444902.0000,85281.0000,540942.0000,454744.0000,86198.0000,551746.0000,464654.0000,87092.0000,562156.0000,474264.0000,87892.0000,572565.0000,483903.0000,88662.0000,582966.0000,493566.0000,89400.0000,593218.0000,503135.0000,90083.0000,603185.0000,512487.0000,90698.0000,612719.0000,521503.0000,91216.0000
Risaralda,COLOMBIA,66,498609.0000,321302.0000,177307.0000,652872.0000,452766.0000,200106.0000,844184.0000,617766.0000,226418.0000,3043.0000,863549.0000,636716.0000,226833.0000,879352.0000,650835.0000,228517.0000,895443.0000,665250.0000,230193.0000,911708.0000,679879.0000,231829.0000,928196.0000,694764.0000,233432.0000,944298.0000,709444.0000,234854.0000,960585.0000,724346.0000,236239.0000,976964.0000,739406.0000,237558.0000,993332.0000,754543.0000,238789.0000,1009556.0000,769656.0000,239900.0000,1025539.0000,784667.0000,240872.0000
San Andres y Providencia,COLOMBIA,98,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,63915.0000,45211.0000,18704.0000,65750.0000,46635.0000,19115.0000,67612.0000,48085.0000,19527.0000,69525.0000,49580.0000,19945.0000,71485.0000,51115.0000,20370.0000,73465.0000,52670.0000,20795.0000,75445.0000,54232.0000,21213.0000,77446.0000,55817.0000,21629.0000,79459.0000,57419.0000,22040.0000,81453.0000,59015.0000,22438.0000,83403.0000,60582.0000,22821.0000
Santander,COLOMBIA,68,1233575.0000,661505.0000,570976.0000,1511392.0000,897015.0000,614377.0000,1811741.0000,1209793.0000,601948.0000,425.0000,1835882.0000,1240911.0000,594971.0000,1861391.0000,1265734.0000,595657.0000,1887067.0000,1290855.0000,596212.0000,1912911.0000,1316287.0000,596624.0000,1938910.0000,1342019.0000,596891.0000,1964361.0000,1367562.0000,596799.0000,1989666.0000,1393188.0000,596478.0000,2014590.0000,1418736.0000,595854.0000,2039336.0000,1444334.0000,595002.0000,2063451.0000,1469663.0000,593788.0000,2086649.0000,1494514.0000,592135.0000
Sucre,COLOMBIA,70,412047.0000,191781.0000,216565.0000,561648.0000,297181.0000,264467.0000,701105.0000,463377.0000,237728.0000,72.0000,720382.0000,480092.0000,240290.0000,734641.0000,491622.0000,243019.0000,749333.0000,503516.0000,245817.0000,764240.0000,515638.0000,248602.0000,779370.0000,527985.0000,251385.0000,794631.0000,540512.0000,254119.0000,809647.0000,552949.0000,256698.0000,824668.0000,565473.0000,259195.0000,839770.0000,578129.0000,261641.0000,854948.0000,590917.0000,264031.0000,870219.0000,603857.0000,266362.0000
Tolima,COLOMBIA,73,957193.0000,493859.0000,463334.0000,1142220.0000,610239.0000,531981.0000,1286078.0000,760962.0000,525116.0000,175.0000,1277675.0000,766266.0000,511409.0000,1272383.0000,773522.0000,498861.0000,1276030.0000,780858.0000,495172.0000,1279720.0000,788247.0000,491473.0000,1283647.0000,795799.0000,487848.0000,1287534.0000,803363.0000,484171.0000,1291462.0000,810972.0000,480490.0000,1295393.0000,818606.0000,476787.0000,1299312.0000,826264.0000,473048.0000,1302998.0000,833796.0000,469202.0000,1306277.0000,841091.0000,465186.0000
Valle del Cauca,COLOMBIA,76,2392715.0000,1813566.0000,579149.0000,3027247.0000,2474884.0000,552363.0000,3736090.0000,3133470.0000,602620.0000,18377.0000,3817890.0000,3218161.0000,599729.0000,3888987.0000,3287863.0000,601124.0000,3961324.0000,3358953.0000,602371.0000,4033071.0000,3429866.0000,603205.0000,4104475.0000,3500830.0000,603645.0000,4175515.0000,3571798.0000,603717.0000,4246896.0000,3643387.0000,603509.0000,4318191.0000,3715237.0000,602954.0000,4389486.0000,3787421.0000,602065.0000,4460850.0000,3860013.0000,600837.0000,4532378.0000,3933049.0000,599329.0000
Vaupes,COLOMBIA,97,8798.0000,1579.0000,5531.0000,26178.0000,4854.0000,21324.0000,20989.0000,4388.0000,16601.0000,120.0000,22663.0000,4795.0000,17868.0000,23232.0000,4951.0000,18281.0000,23797.0000,5106.0000,18691.0000,24358.0000,5264.0000,19094.0000,24923.0000,5423.0000,19500.0000,25473.0000,5582.0000,19891.0000,26026.0000,5741.0000,20285.0000,26573.0000,5903.0000,20670.0000,27118.0000,6064.0000,21054.0000,27658.0000,6227.0000,21431.0000,28195.0000,6391.0000,21804.0000
Vichada,COLOMBIA,99,5668.0000,220.0000,5340.0000,12237.0000,3987.0000,6771.0000,47372.0000,9449.0000,37923.0000,898.0000,66466.0000,10241.0000,56225.0000,70420.0000,10927.0000,59493.0000,74019.0000,11566.0000,62453.0000,77340.0000,12170.0000,65170.0000,80491.0000,12754.0000,67737.0000,83467.0000,13317.0000,70150.0000,86296.0000,13863.0000,72433.0000,88899.0000,14380.0000,74519.0000,91357.0000,14876.0000,76481.0000,93745.0000,15368.0000,78377.0000,96138.0000,15865.0000,80273.0000
