FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,BLACK1,BLACK_R,PCTBLACK,PCTBLCK,polyid
55131430100,Milwaukee,5068,1248,429,5005,5,6,32,17,2610,2458,1763,1628,2817,2690,127,1852,838,2854,1563,1291,477,456,44,58295,5057,185,157200,5,2201,0.860631,0.000987,1
55089610100,Milwaukee,8003,1812,667,7720,35,36,129,59,3999,4004,2760,2764,4476,4237,239,2930,1307,4544,2386,2158,817,700,96,55124,7160,164,145900,35,26,0.005959,0.004373,2
55131410100,Milwaukee,4393,1026,534,4320,2,19,19,27,2198,2195,1446,1387,2389,2316,73,1636,680,2418,1306,1112,466,352,23,51769,4327,211,129800,2,97,0.030012,0.000455,3
55131400101,Milwaukee,7687,1801,703,7509,6,7,106,57,3943,3744,2652,2531,4296,4137,159,2637,1500,4358,2360,1998,736,896,61,62083,7682,224,162600,6,320,0.141892,0.000781,4
55131420104,Milwaukee,5086,1065,821,4957,64,0,11,0,2485,2601,1598,1602,2701,2632,69,1767,865,2787,1479,1308,423,510,48,51858,5086,160,156000,64,40,0.010384,0.012584,5
55131420102,Milwaukee,7619,1943,534,7253,0,143,103,15,3891,3728,2643,2499,4016,3898,118,2557,1341,4066,2187,1879,815,678,86,51844,7468,296,128800,0,2258,0.868852,0.000000,6
55089630201,Milwaukee,4831,1069,755,4726,0,46,2,41,2359,2472,1514,1493,2628,2553,75,1774,779,2653,1346,1307,341,551,54,61266,4735,125,142800,0,2269,0.873103,0.000000,7
55131400102,Milwaukee,3678,877,237,3601,0,0,47,11,1890,1788,1326,1238,2166,2123,43,1405,718,2181,1188,993,434,374,23,57532,3678,92,132800,0,18,0.004510,0.000000,8
55089620100,Milwaukee,5940,1472,516,5707,55,12,118,41,3069,2871,2015,1937,3470,3386,84,2301,1085,3543,1898,1645,623,647,59,55333,5922,175,146300,55,52,0.014111,0.009259,9
55131420400,Milwaukee,3485,710,689,3327,0,0,104,54,1660,1825,1056,1030,1788,1751,37,1319,432,1821,950,871,310,328,49,36231,3473,318,117200,0,635,0.270423,0.000000,10
55131420103,Milwaukee,6033,1283,1070,5892,0,51,71,19,2935,3098,1861,1819,3153,3081,72,1969,1112,3207,1737,1470,500,647,53,60019,5652,116,198400,0,50,0.012784,0.000000,11
55131420200,Milwaukee,5282,1109,1079,5169,0,10,47,47,2580,2702,1514,1580,2541,2457,84,1718,739,2594,1324,1270,425,555,37,53788,5268,151,142500,0,720,0.399645,0.000000,12
55131420300,Milwaukee,5368,1263,810,5126,40,38,132,32,2522,2846,1586,1709,2764,2731,33,1950,781,2810,1403,1407,575,441,70,46161,5144,411,122000,40,0,0.000000,0.007452,13
55089630202,Milwaukee,4536,1191,434,4329,39,7,52,74,2325,2211,1550,1361,2375,2323,52,1659,664,2380,1269,1111,350,501,24,53478,4307,205,142800,39,0,0.000000,0.008598,14
55089630100,Milwaukee,2731,561,401,2592,9,61,32,13,1299,1432,877,892,1526,1485,41,1072,413,1540,784,756,346,306,49,50193,2731,146,124800,9,0,0.000000,0.003295,15
55131440101,Milwaukee,7934,1887,1054,7552,45,29,207,101,3899,4035,2540,2453,4150,4063,87,2621,1442,4221,2332,1889,793,848,107,50203,7784,423,143800,45,0,0.000000,0.005672,16
55131440102,Milwaukee,6358,1563,513,6203,0,21,80,8,3279,3079,2233,2049,3534,3371,163,1766,1605,3601,2059,1542,472,859,57,73333,6354,191,196000,0,95,0.029315,0.000000,17
55131450102,Milwaukee,7383,1771,836,7115,32,27,90,78,3729,3654,2474,2302,4106,3908,198,2563,1345,4095,2184,1911,584,841,65,55934,7357,375,170200,32,898,0.515934,0.004334,18
55131450101,Milwaukee,8983,2262,848,8856,6,0,24,97,4472,4511,2926,2947,4997,4796,201,3292,1504,5077,2769,2308,883,1167,201,58313,8975,246,150500,6,17,0.004334,0.000668,19
55089640200,Milwaukee,6086,1390,625,5980,0,16,38,45,3133,2953,2032,2039,3256,3171,85,2121,1050,3329,1836,1493,286,978,77,70641,6086,230,175600,0,345,0.161692,0.000000,20
55089650300,Milwaukee,5000,1199,647,4911,17,7,37,12,2455,2545,1585,1569,2604,2406,198,1570,836,2681,1462,1219,205,757,62,78271,4800,134,217800,17,992,0.534442,0.003400,21
55089640100,Milwaukee,6246,1406,817,6006,16,0,179,25,3071,3175,1996,2027,3471,3407,64,2489,918,3518,1860,1658,471,624,95,46025,6246,143,140400,16,0,0.000000,0.002562,22
55131440200,Milwaukee,4225,1092,473,4040,0,0,116,7,2137,2088,1381,1279,2124,2036,88,1404,632,2206,1213,993,544,292,27,45142,4220,211,115400,0,73,0.021706,0.000000,23
55089650101,Milwaukee,5887,1591,587,5745,5,48,50,8,2886,3001,1847,1862,3178,3102,76,2011,1091,3188,1725,1463,232,1174,90,63125,5887,102,172200,5,1721,0.745981,0.000849,24
55089650102,Milwaukee,3013,655,552,2990,8,0,15,0,1441,1572,860,946,1497,1415,82,921,494,1489,781,708,120,447,49,57799,3000,114,184300,8,67,0.019855,0.002655,25
55089650200,Milwaukee,4743,1122,713,4665,8,32,32,6,2272,2471,1425,1483,2576,2513,63,1869,644,2647,1430,1217,236,796,99,52050,4743,53,175500,8,65,0.018889,0.001687,26
55131460101,Milwaukee,5572,1398,418,5451,67,12,5,17,2871,2701,1952,1804,2999,2892,107,1679,1213,3079,1649,1430,350,816,100,77038,5551,75,216500,67,35,0.008595,0.012024,27
55131470100,Milwaukee,4819,978,681,4657,68,7,35,18,2369,2450,1574,1586,2699,2577,122,1839,738,2755,1498,1257,234,620,77,61162,4751,92,159900,68,0,0.000000,0.014111,28
55089660200,Milwaukee,7818,1904,940,7328,190,183,92,25,3980,3838,2514,2460,3908,3792,116,2694,1098,3990,2200,1790,192,1412,94,76141,7743,215,218000,190,4048,0.990744,0.024303,29
55131460102,Milwaukee,4801,1031,414,4742,0,11,0,26,2456,2345,1705,1651,2849,2759,90,1898,861,2856,1553,1303,316,751,51,70510,4774,59,175000,0,31,0.007618,0.000000,30
55089660301,Milwaukee,5718,1326,680,5355,125,27,91,95,2927,2791,1876,1836,2990,2784,206,2003,781,3031,1704,1327,135,1128,109,92157,5710,85,239200,125,89,0.027694,0.021861,31
55089660100,Milwaukee,3254,592,673,3129,3,73,44,5,1499,1755,920,1069,1737,1688,49,1189,499,1778,860,918,114,506,35,55962,3254,89,164100,3,0,0.000000,0.000922,32
55131470201,Milwaukee,7092,1702,685,6658,151,103,173,0,3479,3613,2326,2379,3849,3762,87,2808,954,3945,2127,1818,424,1081,134,51671,7064,303,147400,151,127,0.045362,0.021292,33
55089660303,Milwaukee,5193,1241,962,4798,135,67,103,59,2462,2731,1449,1541,2324,2189,135,1598,591,2356,1345,1011,86,995,40,103336,5038,72,253800,135,1039,0.534750,0.025997,34
55089660304,Milwaukee,3318,928,434,3101,84,55,41,25,1561,1757,925,1031,1528,1468,60,1126,342,1536,864,672,60,627,25,134148,3318,26,374900,84,195,0.084777,0.025316,35
55131470202,Milwaukee,6627,1816,373,6290,114,20,70,66,3303,3324,2229,2209,3682,3535,147,2710,825,3756,1961,1795,413,937,146,69043,6617,65,171200,114,1934,0.787669,0.017202,36
55133204500,Milwaukee,7782,1666,777,7639,36,22,35,37,3970,3812,2738,2601,4377,4177,200,2382,1795,4484,2449,2035,401,1069,52,65604,7771,155,214100,36,22,0.005611,0.004626,37
55133203500,Milwaukee,5911,1516,588,5729,13,23,91,38,3028,2883,1933,1874,3175,3001,174,1852,1149,3193,1826,1367,188,938,49,83696,5901,69,260400,13,385,0.189189,0.002199,38
55133203406,Milwaukee,5585,1500,271,5514,0,16,49,6,2782,2803,1943,1871,3203,3143,60,2227,916,3224,1737,1487,372,911,138,77951,5585,152,186100,0,79,0.024182,0.000000,39
55079050102,Milwaukee,6182,1011,1294,4928,832,142,163,38,2704,3478,1850,2027,3099,3033,66,2311,722,3125,1521,1604,287,903,168,47033,5732,306,112100,832,115,0.039814,0.134584,40
55079050101,Milwaukee,5988,1120,982,4871,667,132,206,97,3003,2985,1928,1958,3256,3210,46,2492,718,3302,1670,1632,351,815,115,54167,5970,112,116700,667,8,0.002217,0.111389,41
55079000100,Milwaukee,8394,1729,2044,4307,3324,249,292,196,3612,4782,2089,2532,3381,3339,42,2353,986,3485,1659,1826,503,649,115,35584,8191,1636,81800,3324,1124,0.562618,0.395997,42
55079040100,Milwaukee,1631,338,240,1372,74,105,48,30,815,816,517,536,776,711,65,567,144,785,490,295,15,312,11,161292,1631,27,517300,74,140,0.052219,0.045371,43
55133200300,Milwaukee,3628,785,474,3475,68,36,33,12,1823,1805,1229,1140,1971,1884,87,1451,433,2021,1101,920,270,373,60,57708,3623,132,145500,68,648,0.283011,0.018743,44
55079000201,Milwaukee,4901,1686,434,1327,3076,102,226,118,2130,2771,1180,1601,1659,1638,21,1142,496,1737,736,1001,245,224,32,26909,4805,1602,45400,3076,92,0.027746,0.627627,45
55079030100,Milwaukee,4415,895,895,4070,132,47,69,41,2102,2313,1229,1396,1979,1911,68,1478,433,2029,1067,962,37,861,44,88026,4254,124,225600,132,0,0.000000,0.029898,46
55133200200,Milwaukee,7278,1423,1459,7040,69,37,43,89,3457,3821,2140,2256,3889,3773,116,2895,878,3911,2017,1894,263,1162,129,55924,7278,235,175100,69,5,0.000922,0.009481,47
55133200101,Milwaukee,4634,940,846,4499,26,7,71,31,2215,2419,1414,1434,2436,2372,64,1774,598,2484,1307,1177,235,614,84,50673,4514,109,142300,26,6,0.001500,0.005611,48
55133200103,Milwaukee,3368,715,571,3179,79,0,73,0,1653,1715,1028,1054,1701,1617,84,1341,276,1736,873,863,261,368,67,49043,3268,124,133200,79,117,0.040122,0.023456,49
55133200102,Milwaukee,5052,1025,879,4936,0,24,49,43,2376,2676,1479,1669,2710,2622,88,2062,560,2750,1312,1438,290,563,54,47024,5052,83,132300,0,43,0.011767,0.000000,50
55133203403,Milwaukee,4285,961,595,4234,0,14,32,5,2152,2133,1356,1373,2427,2317,110,1569,748,2438,1242,1196,306,621,104,64979,4273,63,163900,0,2306,0.879377,0.000000,51
55079000202,Milwaukee,5680,1455,274,3610,1536,145,171,190,2851,2829,1963,1988,3178,3143,35,2295,848,3248,1669,1579,461,668,124,53553,5624,413,106900,1536,748,0.403509,0.270423,52
55079035200,Milwaukee,4630,919,1029,4300,84,80,76,52,2192,2438,1280,1402,2298,2177,121,1696,481,2332,1226,1106,55,756,103,64973,4380,131,175200,84,942,0.529469,0.018143,53
55079035100,Milwaukee,2379,603,435,2255,10,75,28,11,1112,1267,622,719,1145,1042,103,805,237,1178,637,541,26,503,18,111477,2379,61,343500,10,3712,0.986706,0.004203,54
55079000700,Milwaukee,3534,817,550,1783,1426,0,128,132,1627,1907,920,1247,1552,1552,0,1136,416,1589,743,846,237,378,48,41466,3330,309,81500,1426,32,0.007957,0.403509,55
55079000900,Milwaukee,3713,1229,327,1177,2308,0,132,91,1627,2086,872,1285,1516,1478,38,1051,427,1576,664,912,228,185,21,31500,3693,707,80800,2308,12,0.003269,0.621600,56
55133203405,Milwaukee,2189,695,94,2159,2,7,4,5,1109,1080,701,699,1156,1101,55,762,339,1169,623,546,123,282,19,71008,2183,37,203200,2,5,0.000849,0.000914,57
55079060100,Milwaukee,7416,1248,1854,6436,530,196,139,115,3623,3793,2160,2154,3443,3318,125,2702,616,3480,1888,1592,163,1208,126,59032,7232,190,155900,530,0,0.000000,0.071467,58
55133204400,Milwaukee,2255,440,573,2233,0,0,16,0,1038,1217,628,614,966,893,73,502,391,970,585,385,80,333,19,65250,2017,47,278800,0,98,0.032269,0.000000,59
55079000800,Milwaukee,5086,1382,449,2269,2413,122,160,100,2453,2633,1505,1750,2448,2432,16,1768,664,2482,1251,1231,394,509,23,43821,5037,519,69600,2413,2462,0.896774,0.474440,60
55079000600,Milwaukee,6303,1605,1038,3056,2656,230,192,117,2852,3451,1729,1931,2705,2651,54,1914,737,2767,1466,1301,478,482,77,42813,5997,755,84700,2656,71,0.021604,0.421387,61
55079000304,Milwaukee,3262,781,396,2045,888,150,60,60,1630,1632,1014,1071,1639,1586,53,1185,401,1655,807,848,240,309,17,60182,3192,243,112400,888,8,0.002272,0.272226,62
55133200400,Milwaukee,4890,1297,563,4606,128,50,64,42,2419,2471,1508,1522,2441,2369,72,2000,369,2502,1359,1143,212,741,129,75702,4887,55,169700,128,399,0.196393,0.026176,63
55079000301,Milwaukee,1497,322,213,1111,294,0,47,22,635,862,441,521,867,833,34,662,171,890,421,469,133,220,21,61250,1497,21,96900,294,59,0.018143,0.196393,64
55079000302,Milwaukee,2504,993,76,678,1580,0,146,54,1129,1375,644,791,911,894,17,585,309,920,459,461,168,139,7,33393,2438,665,101700,1580,11,0.002808,0.630990,65
55133204300,Milwaukee,7919,1813,1199,7718,30,32,101,32,3835,4084,2498,2409,4132,3974,158,2756,1218,4154,2243,1911,411,903,59,53536,7809,163,155300,30,1536,0.698258,0.003788,66
55133203404,Milwaukee,3017,618,364,2844,0,10,98,53,1358,1659,980,1055,1613,1560,53,1147,413,1658,792,866,233,267,20,46667,3017,235,141300,0,1850,0.765957,0.000000,67
55133203402,Milwaukee,3991,1167,347,3831,18,23,77,42,2096,1895,1287,1190,2169,2097,72,1396,701,2217,1227,990,207,575,87,64365,3968,102,182900,18,2055,0.855288,0.004510,68
55079001100,Milwaukee,2980,1004,180,720,2174,28,27,31,1340,1640,744,1052,1145,1145,0,700,445,1180,435,745,177,93,12,26543,2980,680,51500,2174,190,0.080594,0.729530,69
55079001000,Milwaukee,3713,1074,286,1256,2089,124,150,78,1787,1926,1116,1237,1559,1548,11,1086,462,1607,735,872,295,283,8,32702,3653,481,55400,2089,502,0.209695,0.562618,70
55079070100,Milwaukee,4337,1216,496,4172,0,8,103,49,2078,2259,1253,1372,2312,2224,88,1873,351,2348,1222,1126,64,985,116,85539,4337,224,195700,0,0,0.000000,0.000000,71
55079001300,Milwaukee,3863,1253,347,1167,2269,209,70,102,1842,2021,1020,1243,1476,1430,46,1080,350,1540,683,857,273,223,84,33872,3816,759,54900,2269,84,0.026176,0.587367,72
55079001400,Milwaukee,2626,970,139,890,1510,77,59,90,1199,1427,665,852,967,954,13,718,236,1032,524,508,156,122,17,33657,2590,708,70000,1510,25,0.005841,0.575019,73
55079000303,Milwaukee,1836,442,127,1405,385,0,14,32,908,928,631,636,1010,984,26,781,203,1039,495,544,155,152,37,53438,1808,143,100500,385,18,0.004689,0.209695,74
55079001200,Milwaukee,3193,1441,98,439,2306,208,105,113,1460,1733,651,1003,792,775,17,557,218,818,354,464,165,46,3,21295,3185,1524,48600,2306,97,0.031764,0.722205,75
55079000502,Milwaukee,5175,1522,648,1926,2740,137,193,157,2486,2689,1465,1540,1862,1862,0,1476,386,1942,938,1004,378,281,25,37621,4620,899,79600,2740,74,0.022839,0.529469,76
55079070200,Milwaukee,5288,1620,516,5049,31,43,157,0,2585,2703,1548,1604,2511,2388,123,2012,376,2573,1518,1055,33,1086,60,111262,5275,75,275300,31,6,0.001556,0.005862,77
55079060200,Milwaukee,5946,1013,1477,5048,524,80,240,43,2712,3234,1681,1775,2928,2856,72,2249,607,2936,1455,1481,249,781,150,46849,5510,316,118300,524,117,0.040349,0.088126,78
55079001500,Milwaukee,3241,1065,240,708,1841,489,118,85,1534,1707,888,1048,1338,1330,8,965,365,1385,657,728,266,166,16,36366,3222,510,73200,1841,47,0.012564,0.568035,79
55133204200,Milwaukee,5152,1181,688,5020,0,15,63,14,2445,2707,1618,1665,2700,2660,40,1824,836,2726,1426,1300,335,584,49,51331,5039,90,140200,0,0,0.000000,0.000000,80
55079000501,Milwaukee,3411,885,304,2520,635,57,90,78,1572,1839,991,1231,1611,1611,0,1230,381,1663,808,855,245,310,58,41618,3393,315,92100,635,1643,0.733198,0.186162,81
55133203601,Milwaukee,4079,1050,280,3985,21,5,63,0,2008,2071,1371,1378,2382,2279,103,1726,553,2409,1285,1124,257,504,77,54081,4079,121,180200,21,48,0.012584,0.005148,82
55133203301,Milwaukee,6488,1542,646,6273,0,33,53,44,3140,3348,2086,2214,3727,3637,90,2698,939,3762,1960,1802,313,981,113,66033,6486,96,178500,0,128,0.045371,0.000000,83
55079001600,Milwaukee,2715,722,338,1140,1366,39,106,56,1236,1479,748,907,1157,1136,21,732,404,1173,568,605,141,165,21,32917,2642,400,66600,1366,3127,0.961806,0.503131,84
55079001800,Milwaukee,3239,1119,256,856,2055,0,120,196,1366,1873,703,1161,1289,1282,7,832,450,1305,518,787,216,173,6,29073,3226,877,57000,2055,74,0.022587,0.634455,85
55079001900,Milwaukee,3655,1222,221,956,2341,114,42,111,1587,2068,854,1358,1297,1289,8,935,354,1335,550,785,305,131,0,26834,3582,914,51900,2341,52,0.014477,0.640492,86
55079002000,Milwaukee,2469,757,242,639,1724,21,24,61,1129,1340,647,823,837,819,18,507,312,845,375,470,138,115,6,25898,2438,606,46700,1724,0,0.000000,0.698258,87
55079000400,Milwaukee,2431,625,243,1381,806,5,164,75,1124,1307,711,852,1177,1159,18,907,252,1189,563,626,171,160,23,32681,2406,249,78200,806,114,0.039623,0.331551,88
55079002200,Milwaukee,1909,649,220,879,942,0,64,18,1002,907,487,553,735,730,5,517,213,735,324,411,118,71,0,30944,1889,294,60800,942,17,0.004373,0.493452,89
55079002100,Milwaukee,2837,930,184,520,2044,0,123,91,1300,1537,762,961,1025,1019,6,728,291,1076,477,599,234,88,7,27823,2837,892,47900,2044,125,0.044655,0.720479,90
55133200500,Milwaukee,4770,1319,469,4471,189,57,4,40,2339,2431,1458,1524,2463,2414,49,1834,580,2500,1366,1134,202,857,126,81539,4770,30,195300,189,9,0.002411,0.039623,91
55133200600,Milwaukee,1881,320,448,1824,0,25,10,8,878,1003,563,550,949,923,26,772,151,985,525,460,136,151,28,38333,1866,45,114800,0,79,0.024223,0.000000,92
55079002300,Milwaukee,4626,1335,485,286,4068,7,152,79,2061,2565,1221,1585,1595,1595,0,1199,396,1657,693,964,251,168,0,28856,4608,1067,48100,4068,132,0.047011,0.879377,93
55079001700,Milwaukee,4598,1408,511,1978,2201,139,137,89,2111,2487,1215,1464,1930,1866,64,1400,466,1959,867,1092,292,257,52,35679,4577,650,69300,2201,638,0.272226,0.478686,94
55079003000,Milwaukee,3776,982,430,1443,2001,76,142,97,1698,2078,1021,1343,1736,1696,40,1273,423,1768,794,974,265,215,12,38000,3704,455,61100,2001,7,0.002188,0.529926,95
55079070300,Milwaukee,4538,952,658,4112,83,211,98,28,2103,2435,1372,1556,2397,2356,41,1881,475,2427,1261,1166,100,836,93,54103,4519,156,142700,83,39,0.009551,0.018290,96
55079002900,Milwaukee,2144,598,249,725,1096,103,145,75,994,1150,614,683,855,855,0,640,215,853,423,430,154,94,22,34225,2113,536,50900,1096,13,0.003295,0.511194,97
55079002800,Milwaukee,2438,846,155,354,1850,7,102,96,1099,1339,595,842,734,725,9,540,185,754,322,432,124,39,13,28276,2424,586,48900,1850,1382,0.630990,0.758819,98
55079002500,Milwaukee,2314,848,128,313,1812,16,60,113,1062,1252,571,767,816,805,11,614,191,861,369,492,132,104,12,27008,2284,574,47700,1812,27,0.006257,0.783060,99
55079002400,Milwaukee,2417,711,143,155,2258,0,0,0,1122,1295,689,874,924,911,13,624,287,962,370,592,152,102,0,26767,2414,521,43000,2258,45,0.012024,0.934216,100
55133200801,Milwaukee,5450,1588,321,5106,47,148,72,77,2695,2755,1737,1804,2780,2667,113,2077,590,2808,1581,1227,135,934,108,95535,5450,83,210400,47,4068,0.993763,0.008624,101
55133203602,Milwaukee,5477,1613,380,5216,0,124,88,43,2655,2822,1734,1750,2959,2892,67,2182,710,2979,1625,1354,235,790,138,70150,5469,85,168900,0,82,0.024786,0.000000,102
55133204100,Milwaukee,4341,979,460,4139,32,49,60,55,2192,2149,1507,1395,2248,2124,124,1273,851,2285,1252,1033,174,571,37,75418,4252,139,256400,32,1261,0.588325,0.007372,103
55133203701,Milwaukee,7180,1885,669,6996,7,53,16,55,3588,3592,2285,2341,3874,3681,193,2324,1357,3911,2090,1821,313,1219,59,73189,7169,265,234500,7,0,0.000000,0.000975,104
55079003300,Milwaukee,4923,1235,695,2421,1969,176,156,158,2201,2722,1367,1626,2139,2106,33,1592,514,2201,1031,1170,393,357,45,37917,4857,544,85400,1969,1161,0.569277,0.399959,105
55079003200,Milwaukee,2832,820,364,1087,1298,336,17,94,1328,1504,761,887,1181,1157,24,876,281,1210,583,627,226,252,40,44014,2795,240,74500,1298,76,0.023456,0.458333,106
55079004400,Milwaukee,3038,774,230,628,2246,11,88,65,1394,1644,943,1091,1269,1263,6,842,421,1293,625,668,192,320,29,23529,3007,913,38000,2246,228,0.091697,0.739302,107
55079003100,Milwaukee,3620,1100,310,876,2201,398,83,5,1629,1991,958,1252,1534,1520,14,1158,362,1575,704,871,241,132,23,37577,3581,354,61500,2201,1413,0.640492,0.608011,108
55079002700,Milwaukee,2038,677,158,377,1544,0,33,7,953,1085,544,659,813,805,8,532,273,843,376,467,197,69,10,35221,1979,448,53400,1544,2089,0.856894,0.757605,109
55133200802,Milwaukee,8092,1829,1563,7606,41,265,54,50,3731,4361,2231,2469,3862,3772,90,3058,714,3934,2037,1897,357,1272,142,70859,8092,147,188300,41,30,0.007475,0.005067,110
55079002600,Milwaukee,3179,1070,146,317,2504,104,178,58,1409,1770,816,1147,1055,1050,5,689,361,1108,424,684,141,111,0,27917,3093,915,46300,2504,2946,0.952773,0.787669,111
55133200700,Milwaukee,4096,900,755,3826,39,107,86,38,2047,2049,1262,1179,2006,1937,69,1553,384,2049,1138,911,235,607,91,65000,4096,162,160900,39,16,0.003865,0.009521,112
55079090100,Milwaukee,4439,903,1297,4157,141,49,82,10,1953,2486,1116,1123,1880,1834,46,1524,310,1966,979,987,185,457,115,43949,4430,227,123900,141,0,0.000000,0.031764,113
55079004300,Milwaukee,5514,1313,700,162,5199,31,97,17,2461,3053,1506,1995,2066,2027,39,1395,632,2140,832,1308,254,312,18,31678,5507,1016,52900,5199,2341,0.884211,0.942873,114
55079004100,Milwaukee,2774,747,275,229,2453,29,28,26,1181,1593,713,1039,1091,1066,25,755,311,1103,413,690,146,135,7,26402,2749,626,56300,2453,332,0.149378,0.884283,115
55079004200,Milwaukee,3171,921,285,85,2971,23,40,25,1403,1768,844,1121,1040,1040,0,596,444,1060,446,614,207,135,10,26927,3101,883,44200,2971,186,0.071467,0.936928,116
55079080100,Milwaukee,2759,469,303,2476,27,88,92,64,1332,1427,961,1026,1675,1581,94,1279,302,1680,818,862,68,583,138,51801,2756,60,167500,27,225,0.087791,0.009786,117
55079080200,Milwaukee,3381,624,352,3069,69,51,149,38,1568,1813,1112,1293,1977,1935,42,1494,441,2002,979,1023,69,664,118,41969,3381,300,156500,69,2453,0.892144,0.020408,118
55079080300,Milwaukee,3962,975,363,3593,86,40,159,77,1904,2058,1256,1368,2122,1961,161,1592,369,2158,1132,1026,60,973,102,82648,3962,56,234500,86,0,0.000000,0.021706,119
55079003400,Milwaukee,5251,905,1200,3871,1052,63,170,95,2436,2815,1436,1710,2621,2535,86,2067,468,2688,1249,1439,294,598,68,35245,5236,466,89300,1052,1256,0.587367,0.200343,120
55079003600,Milwaukee,1858,493,186,387,1413,5,40,7,864,994,542,637,786,781,5,541,240,817,400,417,131,123,0,32299,1850,215,63800,1413,1538,0.709881,0.760495,121
55079003500,Milwaukee,3423,874,487,1139,1934,101,176,51,1642,1781,956,1106,1407,1362,45,1011,351,1423,645,778,174,128,6,38708,3368,371,72600,1934,51,0.013424,0.565001,122
55079004000,Milwaukee,2662,1026,136,229,2291,42,34,31,1131,1531,550,950,744,731,13,439,292,779,330,449,92,109,5,18443,2626,1216,53600,2291,368,0.186162,0.860631,123
55133203200,Milwaukee,4114,863,380,4014,9,0,28,38,2114,2000,1464,1407,2218,2156,62,1537,619,2227,1273,954,146,722,76,74278,4114,74,270400,9,8,0.002199,0.002188,124
55133200902,Milwaukee,4224,1002,723,4001,54,124,21,24,2070,2154,1194,1305,2003,1896,107,1584,312,2047,1091,956,83,738,65,83820,4224,103,195200,54,2504,0.919436,0.012784,125
55079005100,Milwaukee,3482,978,444,1310,1862,21,101,178,1596,1886,947,1113,1395,1384,11,1128,256,1467,748,719,154,193,12,30541,3456,481,70400,1862,16,0.004097,0.534750,126
55079003800,Milwaukee,2509,696,170,228,2209,0,47,19,1047,1462,663,980,1140,1092,48,831,261,1156,445,711,172,204,20,42546,2481,251,71600,2209,0,0.000000,0.880430,127
55079005200,Milwaukee,1563,312,348,1140,314,11,55,7,644,919,387,516,714,694,20,570,124,722,329,393,89,129,12,37827,1563,106,78200,314,675,0.324843,0.200896,128
55079003900,Milwaukee,2850,822,200,195,2520,4,19,107,1268,1582,751,1077,1237,1220,17,941,279,1258,512,746,198,144,10,30000,2825,400,54000,2520,419,0.198861,0.884211,129
55079004700,Milwaukee,4408,1284,448,96,4048,56,5,94,1987,2421,1132,1544,1272,1239,33,823,416,1350,519,831,184,83,5,22013,4332,1303,38100,4048,147,0.054749,0.918330,130
55079005400,Milwaukee,3616,669,948,3141,203,57,71,106,1624,1992,947,1052,1583,1539,44,1243,296,1669,802,867,235,287,24,35571,3431,218,83200,203,667,0.311628,0.056139,131
55079005500,Milwaukee,3232,622,739,2966,97,39,60,26,1453,1779,904,967,1619,1605,14,1288,317,1617,828,789,153,349,42,46189,3219,101,95300,97,29,0.007257,0.030012,132
55133200901,Milwaukee,4140,851,954,3941,16,105,15,25,1968,2172,1148,1187,1871,1788,83,1556,232,1890,1024,866,171,580,50,69375,4032,83,177300,16,149,0.055503,0.003865,133
55079090200,Milwaukee,1934,292,530,1738,77,0,81,38,925,1009,534,578,1018,1000,18,831,169,1018,532,486,49,314,56,61181,1934,21,141200,77,54,0.015441,0.039814,134
55079004600,Milwaukee,3282,1144,338,10,3127,104,6,35,1439,1843,801,999,938,892,46,566,326,963,428,535,163,29,7,24144,3245,1196,41500,3127,168,0.057527,0.952773,135
