FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MULTI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,FIPSNO,POLYID
06061022001,Sacramento,5501,1077,518,4961,29,82,336,31,2982,2519,2115,1791,2889,2606,283,1573,1033,2972,1785,1187,117,663,42,52941,5461,470,225900,6061022001,1
06061020106,Sacramento,2072,396,109,1603,0,28,391,41,1065,1007,839,728,1151,1067,84,908,159,1175,653,522,38,229,19,51958,2052,160,249300,6061020106,2
06061020107,Sacramento,3633,911,126,1624,9,0,1918,41,1970,1663,1459,1137,1791,1692,99,1354,338,1857,1159,698,86,197,0,32992,3604,668,175900,6061020107,3
06061020105,Sacramento,1683,281,154,1564,0,55,60,4,820,863,606,642,1013,954,59,789,165,1026,507,519,5,256,6,54556,1683,116,302300,6061020105,4
06061020200,Sacramento,5794,1278,830,5185,17,13,251,229,2913,2881,1861,1825,2633,2423,210,739,1684,2730,1470,1260,155,506,59,50815,5771,342,167300,6061020200,5
06061020101,Sacramento,755,90,53,698,0,19,33,5,420,335,348,264,405,377,28,325,52,424,296,128,11,111,9,60167,755,63,247800,6061020101,6
06061020104,Sacramento,1817,244,280,1771,25,16,0,0,970,847,701,592,856,754,102,653,101,941,556,385,42,101,5,49063,1775,203,394000,6061020104,7
06061020103,Sacramento,1096,155,66,1064,0,9,13,6,639,457,501,374,766,738,28,673,65,777,458,319,4,153,8,52171,1096,56,311600,6061020103,8
06061020102,Sacramento,1102,195,62,1034,0,0,20,39,563,539,456,389,704,622,82,564,58,721,412,309,10,193,31,62500,1102,50,376000,6061020102,9
06061022002,Sacramento,5297,1175,729,4805,4,18,298,126,2612,2685,1680,1713,2543,2394,149,1318,1076,2601,1425,1176,129,589,73,46747,5249,370,194000,6061022002,10
06017030503,Sacramento,1184,220,106,1117,4,0,0,53,631,553,469,389,665,583,82,450,133,681,398,283,0,200,15,51333,1184,90,232800,6017030503,11
06061021901,Sacramento,3074,596,454,2760,0,55,172,75,1538,1536,1028,996,1565,1514,51,931,583,1603,865,738,74,307,5,55000,3008,206,206500,6061021901,12
06061021304,Sacramento,4727,1022,584,3972,0,72,477,143,2423,2304,1608,1513,2232,1976,256,807,1169,2278,1268,1010,116,424,57,52286,4692,328,235900,6061021304,13
06061021902,Sacramento,4305,967,675,3865,0,21,184,134,2183,2122,1308,1355,2046,1883,163,1076,807,2074,1149,925,74,535,84,59443,4286,130,225400,6061021902,14
06061021600,Sacramento,7347,1439,1432,6260,0,291,585,137,3494,3853,2250,2226,2942,2770,172,1851,919,3051,1640,1411,192,659,30,38854,6866,673,228600,6061021600,15
06017030603,Sacramento,2776,577,349,2577,0,7,130,54,1345,1431,877,973,1186,1123,63,443,680,1231,637,594,49,254,31,41982,2759,229,157500,6017030603,16
06061021801,Sacramento,4032,822,556,3700,20,33,140,109,2040,1992,1361,1293,1722,1562,160,860,702,1787,980,807,86,439,44,67300,4026,147,245900,6061021801,17
06017030602,Sacramento,5786,1224,778,5204,55,27,285,158,2993,2793,1970,1814,2362,2218,144,774,1444,2434,1263,1171,50,490,39,47672,5716,454,161200,6017030602,18
06061021301,Sacramento,2747,674,273,2295,37,0,299,101,1402,1345,943,857,1292,1189,103,632,557,1333,757,576,77,287,40,56432,2747,167,172800,6061021301,19
06017030200,Sacramento,5072,1283,393,2541,39,316,2102,54,2638,2434,1841,1555,2304,2198,106,1883,315,2400,1318,1082,72,342,21,33560,4975,802,144700,6017030200,20
06017030101,Sacramento,283,30,22,150,0,33,96,0,162,121,139,92,150,95,55,75,20,150,87,63,0,48,0,28750,283,61,123500,6017030101,21
06017030102,Sacramento,4088,1023,269,1511,27,701,1794,49,2220,1868,1558,1238,1912,1869,43,1663,206,1979,1146,833,55,216,41,32045,4076,547,175700,6017030102,22
06061021501,Sacramento,4360,857,776,3762,4,72,369,128,2141,2219,1389,1338,1866,1767,99,1183,584,1905,1003,902,113,368,67,45426,4222,302,189700,6061021501,23
06017030300,Sacramento,5805,1283,425,4121,0,159,1280,163,2873,2932,2082,2015,2958,2858,100,2520,338,3012,1517,1495,98,367,0,32492,5740,711,148700,6017030300,24
06017030401,Sacramento,4260,793,569,3569,8,86,440,149,2075,2185,1440,1458,2203,2069,134,1777,292,2284,1223,1061,85,381,13,51092,4242,207,189300,6017030401,25
06017030501,Sacramento,6174,1389,521,5567,102,73,276,120,3196,2978,2187,2077,3209,2986,223,2608,378,3269,1756,1513,87,679,74,56528,6174,252,193300,6017030501,26
06017030601,Sacramento,4607,1015,611,4162,13,14,231,125,2338,2269,1475,1506,2151,2005,146,715,1290,2193,1149,1044,135,577,28,61505,4601,114,212200,6017030601,27
06061021502,Sacramento,3632,788,536,3323,6,50,199,20,1721,1911,1098,1210,1820,1695,125,1209,486,1817,963,854,74,423,44,54412,3611,217,195900,6061021502,28
06061021802,Sacramento,5999,1196,1475,5369,6,79,369,96,2765,3234,1552,1776,2451,2310,141,1590,720,2473,1205,1268,136,468,63,48729,5791,400,176500,6061021802,29
06017030502,Sacramento,3047,624,244,2805,0,40,125,70,1578,1469,1115,1064,1795,1707,88,1463,244,1835,924,911,31,363,29,50948,3047,151,165100,6017030502,30
06113011500,Sacramento,4552,1257,534,2438,41,99,1848,92,2357,2195,1467,1294,1758,1629,129,944,685,1813,1024,789,63,229,5,40577,4485,569,148100,6113011500,31
06113011400,Sacramento,3784,944,480,1780,203,4,1717,62,1935,1849,1250,1110,1518,1420,98,921,499,1565,861,704,45,166,4,36202,3784,565,125800,6113011400,32
06061020500,Sacramento,5934,1222,1060,5374,11,104,214,166,2885,3049,1769,1883,2746,2566,180,1543,1023,2789,1523,1266,140,788,80,65118,5924,215,265800,6061020500,33
06017030402,Sacramento,4155,904,379,3320,25,120,583,30,2010,2145,1428,1444,2028,1926,102,1679,247,2082,1000,1082,96,345,50,32574,4153,633,117100,6017030402,34
06061020400,Sacramento,5657,1136,925,4998,10,96,370,146,2690,2967,1743,1853,2698,2513,185,1708,805,2782,1460,1322,102,755,84,49789,5642,326,213800,6061020400,35
06061021401,Sacramento,2281,552,295,1531,0,26,640,62,1161,1120,744,690,1004,978,26,561,417,1052,633,419,144,164,57,41010,2273,207,127900,6061021401,36
06061021402,Sacramento,6960,1983,688,4560,60,69,2066,134,3382,3578,2123,2166,2986,2891,95,1754,1137,3027,1605,1422,298,464,27,40995,6801,1073,132800,6061021402,37
06061020300,Sacramento,4711,882,955,4120,31,68,299,150,2154,2557,1395,1479,2168,2123,45,1565,558,2248,1142,1106,83,467,36,37346,4572,502,165400,6061020300,38
06061021200,Sacramento,7881,1889,1042,6773,50,201,529,255,3959,3922,2508,2442,3767,3583,184,2081,1502,3852,2075,1777,135,938,150,57791,7868,303,185200,6061021200,39
06061021303,Sacramento,5693,1743,433,4818,107,148,397,185,2718,2975,1636,1881,2682,2421,261,1247,1174,2699,1466,1233,11,1048,220,87347,5693,25,244500,6061021303,40
06061021104,Sacramento,8152,2156,719,6855,55,376,594,181,4060,4092,2608,2669,3883,3627,256,1940,1687,3914,2209,1705,52,1454,182,85612,8137,117,248500,6061021104,41
06061020602,Sacramento,6147,1285,894,5312,0,295,303,178,3001,3146,1920,2048,2907,2576,331,1624,952,2988,1695,1293,110,944,141,71625,6123,365,309700,6061020602,42
06061020601,Sacramento,6425,1422,796,5822,39,146,296,114,3109,3316,2028,2179,3389,3098,291,1551,1547,3435,1891,1544,74,1255,116,94350,6410,181,353600,6061020601,43
06017031403,Sacramento,97,6,16,86,0,2,3,0,61,36,50,25,58,54,4,34,20,58,44,14,0,15,0,51563,97,0,168800,6017031403,44
06017030901,Sacramento,2726,561,337,2464,0,18,139,105,1336,1390,940,888,1321,1242,79,465,777,1337,718,619,48,389,78,53450,2707,163,242400,6017030901,45
06061021105,Sacramento,5575,1620,211,4564,155,132,568,110,2636,2939,1749,1995,2917,2804,113,1684,1120,2891,1481,1410,80,980,143,70099,5549,342,213000,6061021105,46
06061021103,Sacramento,3690,941,332,3045,0,126,386,86,1770,1920,1148,1269,1888,1845,43,1190,655,1909,931,978,71,357,78,46196,3674,536,141100,6061021103,47
06061021106,Sacramento,2278,415,405,2057,101,20,49,51,1214,1064,797,661,1064,996,68,602,394,1090,637,453,40,308,33,55994,2278,47,195000,6061021106,48
06061021004,Sacramento,3692,1106,165,2861,69,207,325,230,1822,1870,1189,1232,1831,1764,67,903,861,1851,1058,793,49,716,88,78793,3686,85,221100,6061021004,49
06061021109,Sacramento,2969,544,225,2520,16,127,265,41,1573,1396,1185,1015,1664,1566,98,937,629,1660,938,722,81,680,69,80447,2828,20,242800,6061021109,50
06017031302,Sacramento,4644,1044,768,4012,0,38,359,126,2354,2290,1438,1394,1844,1767,77,913,854,1874,1035,839,130,226,9,36810,4629,482,129500,6017031302,51
06017031301,Sacramento,3403,679,596,2994,13,37,231,95,1705,1698,1030,1098,1481,1402,79,945,457,1528,821,707,49,336,38,47500,3403,352,181400,6017031301,52
06061021107,Sacramento,6370,1788,545,5260,55,309,429,233,3004,3366,1861,2176,3198,2953,245,1779,1174,3262,1642,1620,115,876,190,54647,6348,289,172100,6061021107,53
06017031000,Sacramento,5750,1257,974,4841,60,64,659,91,2799,2951,1720,1799,2495,2386,109,1547,839,2520,1296,1224,137,466,112,42363,5640,279,173800,6017031000,54
06061021108,Sacramento,2870,638,518,2429,17,59,218,147,1401,1469,844,870,1313,1235,78,743,492,1324,725,599,75,166,18,33947,2870,228,117800,6061021108,55
06113010102,Sacramento,7256,2162,768,3705,148,346,2486,502,3600,3656,2156,2170,2318,2292,26,1649,643,2362,1284,1078,194,189,46,29277,7180,2038,94300,6113010102,56
06017031100,Sacramento,5084,1065,871,4371,0,30,503,115,2340,2744,1447,1701,2266,2192,74,1436,756,2297,1176,1121,115,421,29,42045,5059,499,157200,6017031100,57
06061021003,Sacramento,4968,1142,512,3968,68,124,673,94,2406,2562,1642,1672,2438,2280,158,1472,808,2515,1372,1143,92,560,111,52083,4951,208,177000,6061021003,58
06017030801,Sacramento,3730,922,370,3297,51,20,188,128,1914,1816,1202,1236,1752,1683,69,717,966,1781,932,849,64,456,42,70984,3724,37,241600,6017030801,59
06061021008,Sacramento,7229,1823,743,5442,129,376,1051,173,3579,3650,2315,2348,3730,3627,103,2055,1572,3805,1994,1811,182,1021,199,53171,7209,313,149400,6061021008,60
06017030701,Sacramento,5442,1637,335,4674,159,189,290,71,2737,2705,1720,1750,2475,2204,271,1087,1117,2587,1582,1005,57,1088,158,99325,5442,91,330500,6017030701,61
06061020704,Sacramento,1873,482,45,1538,19,145,125,39,961,912,683,663,1015,999,16,674,325,1023,578,445,27,386,39,62443,1873,132,205600,6061020704,62
06017031406,Sacramento,5342,1255,774,4799,24,16,284,126,2631,2711,1642,1671,2223,2135,88,823,1312,2243,1238,1005,136,424,12,51635,5265,430,160200,6017031406,63
06061020604,Sacramento,5495,1450,512,4926,61,57,255,190,2702,2793,1736,1797,2441,2336,105,1330,1006,2508,1471,1037,65,982,25,85057,5495,148,380700,6061020604,64
06061021005,Sacramento,5518,1848,220,4564,30,383,379,144,2697,2821,1685,1765,2628,2538,90,1462,1076,2671,1450,1221,48,1173,202,86536,5509,0,226800,6061021005,65
06017031405,Sacramento,2412,461,487,2301,0,0,46,9,1200,1212,721,743,1121,1062,59,471,591,1130,627,503,64,259,7,48992,2412,188,173200,6017031405,66
06061021006,Sacramento,5326,0,3806,5054,0,91,139,42,2312,3014,494,1026,612,547,65,293,254,691,296,395,11,242,24,49398,5326,167,243400,6061021006,67
06061020800,Sacramento,7396,1454,1064,5929,76,211,905,193,3436,3960,2261,2617,3805,3673,132,2491,1182,3829,1935,1894,195,811,104,44698,7373,471,148800,6061020800,68
06061021007,Sacramento,11135,3380,637,8709,172,631,1056,461,5362,5773,3447,3671,5656,5450,206,3281,2169,5677,3056,2621,167,1871,325,66489,11074,202,187200,6061021007,69
06113011206,Sacramento,2884,586,296,1903,110,5,797,69,1686,1198,1193,809,1148,1096,52,913,183,1174,672,502,77,230,13,47072,2471,196,221900,6113011206,70
06061020705,Sacramento,8921,2102,1222,7464,167,520,513,150,4062,4859,2618,2979,4289,4104,185,2449,1655,4381,2292,2089,63,1506,189,70088,8773,451,225800,6061020705,71
06061020702,Sacramento,7189,1341,1708,5992,77,62,774,253,3290,3899,2025,2115,3012,2915,97,1991,924,3084,1653,1431,93,826,64,42165,6681,572,156700,6061020702,72
06061020605,Sacramento,5312,1548,342,4641,31,288,280,52,2702,2610,1678,1744,2213,2094,119,1188,906,2267,1420,847,40,1046,95,111255,5302,150,421200,6061020605,73
06067007100,Sacramento,1110,274,146,740,31,73,224,5,553,557,319,371,501,496,5,364,132,511,263,248,25,169,22,65000,1105,133,199100,6067007100,74
06067007206,Sacramento,4196,1057,319,3155,84,55,589,154,2077,2119,1412,1408,1922,1828,94,954,874,1975,1025,950,106,364,28,50952,4172,356,122900,6067007206,75
06017031200,Sacramento,4824,886,888,4149,13,23,463,131,2383,2441,1543,1507,2048,1933,115,1210,723,2153,1128,1025,140,473,80,43423,4482,621,172400,6017031200,76
06061020901,Sacramento,2855,622,275,1743,0,21,1035,41,1394,1461,980,978,1135,1062,73,637,425,1155,616,539,57,151,35,33274,2855,590,112400,6061020901,77
06061020902,Sacramento,7513,2108,735,5045,69,337,1805,159,3751,3762,2370,2300,3399,3213,186,1977,1236,3442,1945,1497,184,762,182,44609,7484,699,138600,6061020902,78
06061020606,Sacramento,4233,1551,129,3502,18,301,197,207,2129,2104,1287,1266,1691,1467,224,844,623,1718,1115,603,19,822,97,128578,4233,42,412200,6061020606,79
06061020703,Sacramento,7178,1768,731,6093,22,202,547,300,3473,3705,2304,2375,3553,3381,172,2160,1221,3563,1910,1653,89,1028,136,63688,7069,198,203000,6061020703,80
06067007417,Sacramento,3147,884,223,1672,295,484,312,327,1545,1602,950,1090,1517,1475,42,965,510,1524,777,747,86,326,59,50583,3140,172,123400,6067007417,81
06067007418,Sacramento,10826,3475,367,6617,965,1460,1072,534,5350,5476,3288,3696,5149,4960,189,2728,2232,5226,2676,2550,275,1394,206,63438,10728,468,153500,6067007418,82
06067007419,Sacramento,10122,3250,460,6523,839,1063,1101,505,5010,5112,3014,3398,5046,4894,152,2663,2231,5094,2581,2513,299,1384,254,59054,10072,642,148700,6067007419,83
06067007421,Sacramento,4168,1245,100,2667,388,310,394,330,2056,2112,1364,1459,2262,2157,105,1126,1031,2313,1180,1133,57,769,141,76564,4163,87,168100,6067007421,84
06017031402,Sacramento,4844,1012,689,4435,0,0,205,123,2451,2393,1568,1575,2121,1948,173,529,1419,2171,1188,983,135,477,74,46272,4790,335,165400,6017031402,85
06067008128,Sacramento,2551,577,402,2031,34,87,289,98,1258,1293,836,736,1126,1099,27,668,431,1132,594,538,49,191,22,44677,2537,257,108500,6067008128,86
06067008127,Sacramento,5107,1333,241,3967,175,220,578,160,2564,2543,1822,1711,2651,2597,54,1678,919,2686,1478,1208,172,402,33,51250,5090,338,121600,6067008127,87
06067008113,Sacramento,3896,1017,284,3090,103,47,520,74,1962,1934,1253,1342,1941,1887,54,1160,727,1962,1009,953,162,289,24,37321,3883,461,104300,6067008113,88
06067008124,Sacramento,4806,1094,446,4033,57,149,387,139,2361,2445,1632,1634,2371,2245,126,1387,858,2392,1255,1137,19,578,97,63250,4754,180,160300,6067008124,89
06017031404,Sacramento,2197,304,280,2052,0,0,84,54,1084,1113,788,825,1164,1109,55,483,626,1164,605,559,65,356,45,50865,2177,145,203600,6017031404,90
06067007420,Sacramento,8166,2582,365,4646,1080,846,1015,415,3986,4180,2561,2658,3943,3799,144,2356,1443,3607,1732,1875,64,806,173,47328,8141,594,135000,6067007420,91
06067008203,Sacramento,4942,1095,650,4277,76,89,239,165,2502,2440,1623,1574,2454,2343,111,1367,976,2479,1283,1196,79,702,93,57098,4905,274,170600,6067008203,92
06017031502,Sacramento,5643,1197,1352,4889,0,38,450,133,2619,3024,1467,1627,2163,2064,99,1279,785,2219,1112,1107,118,423,25,37500,5527,688,150900,6017031502,93
06067008501,Sacramento,4657,1436,246,3853,109,186,355,139,2348,2309,1471,1504,2442,2277,165,1243,1034,2451,1349,1102,75,979,109,88865,4618,74,228000,6067008501,94
06067008211,Sacramento,2677,619,431,2202,5,93,275,50,1337,1340,793,834,1184,1105,79,551,554,1216,606,610,22,286,31,62500,2634,128,206400,6067008211,95
06067008125,Sacramento,5489,1344,735,4584,108,99,424,200,2653,2836,1679,1731,2620,2538,82,1450,1088,2665,1443,1222,117,628,56,54696,5430,257,148400,6067008125,96
06017030703,Sacramento,7059,2178,499,6135,0,351,353,189,3520,3539,2084,2298,3386,3184,202,1497,1687,3430,1920,1510,124,1419,109,92743,7036,98,277800,6017030703,97
06017030803,Sacramento,5795,1311,827,5118,8,71,370,186,2776,3019,1730,1927,2704,2573,131,1468,1105,2783,1472,1311,109,789,82,59216,5769,277,200800,6017030803,98
06067007207,Sacramento,3965,1167,326,3142,37,181,410,123,1992,1973,1229,1243,1497,1466,31,779,687,1512,806,706,71,307,53,45938,3915,504,115200,6067007207,99
06067008210,Sacramento,4693,844,1180,4263,59,109,122,128,2162,2531,1246,1423,2054,1995,59,1140,855,2083,1113,970,24,793,74,60098,4693,150,214600,6067008210,100
06017030702,Sacramento,5766,1575,484,5011,236,101,301,93,2953,2813,1894,1813,2768,2631,137,1409,1222,2784,1660,1124,37,1139,99,95425,5730,53,245100,6017030702,101
06067008143,Sacramento,4037,891,422,3297,50,102,416,129,2038,1999,1363,1361,2055,2031,24,1325,706,2061,1068,993,93,352,35,39304,3991,419,138300,6067008143,102
06067008142,Sacramento,3509,885,195,2791,181,66,247,179,1674,1835,1181,1248,1874,1838,36,1075,763,1886,938,948,107,417,50,38185,3497,462,146400,6067008142,103
06067008111,Sacramento,6628,1618,885,5479,77,198,570,263,3284,3344,2043,2082,3040,2904,136,1660,1244,3099,1626,1473,114,626,92,46789,6509,309,124200,6067008111,104
06067008132,Sacramento,3380,680,898,2932,31,101,149,145,1667,1713,886,916,1329,1297,32,888,409,1387,782,605,87,297,71,47167,3319,153,117700,6067008132,105
06067008129,Sacramento,3566,877,481,2889,119,136,317,91,1787,1779,1119,1089,1706,1660,46,1010,650,1754,921,833,65,287,39,44762,3547,342,113600,6067008129,106
06067008130,Sacramento,3964,1119,312,2993,210,133,378,154,1865,2099,1213,1320,1809,1785,24,1204,581,1828,951,877,65,376,63,44567,3915,473,113400,6067008130,107
06067007406,Sacramento,6981,1971,890,4204,1009,375,901,395,3369,3612,1915,2205,2476,2403,73,1365,1038,2546,1346,1200,187,382,88,38166,6899,1379,96600,6067007406,108
06067007425,Sacramento,8103,2097,417,5400,734,453,1018,412,3890,4213,2677,2912,4156,4099,57,2359,1740,4129,2136,1993,312,766,127,45558,8059,521,121400,6067007425,109
06067008300,Sacramento,6828,0,22,2329,2460,69,1831,114,6778,50,6756,50,401,287,114,148,139,401,359,42,12,68,24,56042,3680,1963,0,6067008300,110
06067008140,Sacramento,3058,664,382,2452,78,107,227,187,1464,1594,972,1040,1419,1331,88,633,698,1467,824,643,57,336,82,50753,2910,264,148300,6067008140,111
06067007422,Sacramento,2424,766,176,1614,113,163,322,119,1113,1311,674,808,1043,1026,17,641,385,1102,546,556,65,208,36,36754,2419,229,110800,6067007422,112
06067008145,Sacramento,7766,1922,617,6470,112,384,582,163,3962,3804,2614,2613,4030,3880,150,2121,1759,4089,2136,1953,222,966,130,61089,7736,243,146900,6067008145,113
06067008120,Sacramento,4430,986,398,3441,133,158,434,154,2178,2252,1487,1559,2411,2359,52,1215,1144,2452,1211,1241,84,615,85,48955,4415,281,146400,6067008120,114
06067007208,Sacramento,4130,1074,378,3124,114,219,459,204,2072,2058,1302,1376,1725,1696,29,1210,486,1772,908,864,137,332,53,43862,4071,741,114200,6067007208,115
06067008209,Sacramento,4158,794,467,3483,69,219,232,109,2100,2058,1427,1470,2193,2010,183,1092,918,2196,1285,911,26,937,154,82107,4158,86,276300,6067008209,116
06017030806,Sacramento,5182,1241,695,4496,26,63,418,124,2460,2722,1537,1709,2512,2369,143,1338,1031,2551,1286,1265,54,817,142,56756,5149,260,195200,6017030806,117
06017030805,Sacramento,9199,2650,708,8088,53,196,609,211,4534,4665,2865,2976,4482,4266,216,2191,2075,4579,2485,2094,241,1643,301,71321,9150,443,203400,6017030805,118
06067007209,Sacramento,3457,972,349,2843,0,50,429,77,1664,1793,1043,1093,1405,1361,44,802,559,1455,698,757,97,272,33,42895,3444,452,111300,6067007209,119
06067007202,Sacramento,3743,937,471,2849,106,196,411,136,1830,1913,1151,1184,1502,1433,69,911,522,1530,830,700,70,220,23,37095,3728,530,121800,6067007202,120
06017030902,Sacramento,4341,866,555,3829,12,35,254,112,2211,2130,1476,1444,2035,1844,191,916,928,2084,1155,929,83,611,89,60563,4321,403,251600,6017030902,121
06017030804,Sacramento,5758,1370,669,5121,15,76,351,90,2813,2945,1812,1907,2668,2455,213,1170,1285,2714,1480,1234,78,794,86,66635,5749,200,255000,6017030804,122
06017031504,Sacramento,5273,1081,1015,4679,0,19,340,176,2529,2744,1570,1607,2060,1888,172,1194,694,2156,1149,1007,162,385,48,39651,5243,433,147500,6017031504,123
06067008402,Sacramento,5757,1497,558,4955,45,135,466,140,2878,2879,1850,1852,2807,2711,96,1561,1150,2934,1561,1373,132,828,125,61295,5713,213,182200,6067008402,124
06067007414,Sacramento,4338,1405,175,2605,457,236,605,310,2071,2267,1298,1460,1865,1845,20,1215,630,1917,1023,894,149,254,54,37035,4315,512,96600,6067007414,125
06067008136,Sacramento,2354,344,753,2016,69,33,151,67,969,1385,596,661,931,915,16,548,367,968,484,484,29,263,51,40076,2203,102,144200,6067008136,126
06067007402,Sacramento,6244,1687,972,3869,559,223,998,383,3065,3179,1774,1811,2150,2126,24,1324,802,2248,1195,1053,180,287,59,40152,6181,1203,90200,6067007402,127
06067008131,Sacramento,5088,958,762,3872,288,204,597,120,2499,2589,1689,1679,2520,2421,99,1533,888,2574,1337,1237,49,493,42,35058,5037,603,93900,6067008131,128
06067008208,Sacramento,4633,1078,527,3789,150,88,410,111,2263,2370,1481,1547,2117,2056,61,1089,967,2129,1123,1006,98,400,66,43333,4575,569,145400,6067008208,129
06113010901,Sacramento,5246,1400,503,2604,75,225,2212,86,2584,2662,1628,1715,2307,2279,28,1747,532,2347,1229,1118,186,332,54,44524,5045,607,130200,6113010901,130
06067008144,Sacramento,2429,465,231,2090,7,65,196,71,1156,1273,844,889,1287,1207,80,737,470,1314,692,622,50,357,108,63646,2394,108,157600,6067008144,131
06113010800,Sacramento,4100,1237,392,1653,7,155,2176,75,2142,1958,1304,1167,1503,1429,74,1230,199,1551,867,684,132,260,21,36318,4054,983,151700,6113010800,132
06067008141,Sacramento,6559,1628,498,4727,277,212,1020,218,3346,3213,2273,2160,3038,2983,55,1943,1040,3135,1769,1366,117,389,62,32346,6482,999,125800,6067008141,133
06067007416,Sacramento,4123,1037,503,2722,339,248,628,117,2055,2068,1272,1311,1513,1496,17,969,527,1542,746,796,97,230,47,37527,4102,784,93700,6067007416,134
