FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MUTLI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
13103030100,Savannah,2947,735,254,2331,516,0,17,83,1484,1463,1042,916,1310,1304,6,509,795,1305,720,585,115,191,9,41786,2947,437,74500,0
13103030202,Savannah,3676,933,398,2755,851,10,21,22,1786,1890,1144,1201,1647,1636,11,725,911,1666,910,756,177,231,16,42500,3659,570,86900,1
13103030201,Savannah,8523,2294,711,6475,1773,0,34,111,4257,4266,2761,2757,3691,3628,63,1528,2100,3721,2072,1649,358,485,20,42873,8228,918,79400,2
13103030302,Savannah,11216,3116,886,9427,1058,235,244,208,5466,5750,3473,3741,5448,5397,51,3004,2393,5523,3009,2514,452,963,96,51223,11159,753,99800,3
13103030301,Savannah,2959,859,107,2792,80,58,29,0,1500,1459,1009,984,1463,1445,18,740,705,1470,870,600,172,265,33,62826,2953,141,130100,4
13103030400,Savannah,8214,1990,653,7683,391,26,33,49,4186,4028,2861,2710,3652,3580,72,1717,1863,3695,2140,1555,368,449,17,40378,8204,639,68700,5
13029920100,Savannah,8909,2383,815,6901,1779,29,50,137,4336,4573,2811,2900,3759,3688,71,1401,2287,3783,2040,1743,396,449,20,33556,8813,1551,60500,6
13051010700,Savannah,4484,636,589,3014,1258,96,42,42,2747,1737,2182,1077,1598,1582,16,1145,437,1629,917,712,161,284,8,42401,3266,335,67200,7
13051010801,Savannah,2537,600,275,2283,152,19,29,26,1278,1259,838,824,1328,1294,34,787,507,1345,763,582,128,176,0,43150,2527,134,80400,8
13051010803,Savannah,6084,1563,541,5274,534,157,59,50,2969,3115,1919,2061,3013,2988,25,2179,809,3006,1528,1478,254,593,93,47247,5960,498,90100,9
13051010605,Savannah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
13051010603,Savannah,1888,435,251,1241,487,47,69,44,935,953,632,570,935,935,0,769,166,912,488,424,58,105,9,31958,1886,169,66000,11
13051010601,Savannah,5685,1344,708,2492,2679,0,443,61,2754,2931,1704,1929,2592,2592,0,2040,552,2625,1430,1195,262,308,21,30475,5677,1205,72600,12
13029920200,Savannah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
13051010802,Savannah,2216,437,249,2083,63,6,54,10,1094,1122,789,741,939,884,55,350,534,938,588,350,98,130,22,43080,2216,296,67400,14
13051011101,Savannah,7952,1686,849,6488,772,311,183,153,3951,4001,2726,2691,4308,4196,112,3113,1083,4308,2387,1921,152,1142,96,62192,7935,325,135700,15
13051010101,Savannah,2219,1066,169,326,1825,0,29,0,960,1259,343,641,327,327,0,257,70,353,133,220,27,58,0,11365,2165,1348,238800,16
13051010604,Savannah,1109,354,162,62,1033,0,0,14,477,632,213,380,313,313,0,250,63,322,151,171,15,13,0,16964,1109,461,62400,17
13051003200,Savannah,1149,320,156,20,1110,0,19,0,542,607,326,347,349,349,0,276,73,371,178,193,41,11,0,21809,1149,285,58200,18
13051000601,Savannah,4037,1151,740,9,4028,0,0,0,1744,2293,905,1241,1070,1057,13,744,313,1080,492,588,202,71,0,14240,4018,1440,38000,19
13051000100,Savannah,1141,503,33,146,995,0,0,0,492,649,198,407,186,186,0,122,64,192,53,139,28,26,0,7477,858,648,0,20
13051000300,Savannah,2276,108,143,1719,229,167,108,17,1370,906,1256,769,1020,928,92,869,59,964,557,407,24,208,40,23324,1583,514,281300,21
13051003301,Savannah,2017,395,418,0,1983,0,20,7,872,1145,528,676,743,743,0,440,303,762,346,416,44,76,0,24583,2001,375,47400,22
13051000800,Savannah,752,15,52,671,21,16,27,9,334,418,293,392,480,431,49,385,46,479,182,297,18,140,0,27774,685,196,598200,23
13051000900,Savannah,1222,82,366,1048,137,0,13,10,517,705,356,418,566,554,12,481,73,572,334,238,0,241,8,35208,1213,184,382600,24
13051010804,Savannah,8331,2073,537,5684,2041,107,376,100,4103,4228,2809,2912,4040,3966,74,2717,1249,3947,2090,1857,150,761,46,43114,8316,949,76300,25
13051001100,Savannah,2391,641,188,380,1961,35,0,8,1184,1207,789,773,668,660,8,420,240,659,286,373,40,48,0,17051,2129,851,74700,26
13051001200,Savannah,1298,440,180,0,1298,0,0,0,594,704,267,411,275,275,0,212,63,297,105,192,9,12,0,9720,1298,711,48200,27
13051003700,Savannah,1834,568,165,608,1149,53,9,10,813,1021,497,604,670,654,16,442,212,677,298,379,82,54,9,30305,1834,429,51800,28
13051001300,Savannah,1103,201,52,589,482,5,27,0,559,544,434,416,525,494,31,424,70,538,271,267,38,80,0,19393,1073,556,122500,29
13051003302,Savannah,1791,331,358,6,1772,0,13,0,838,953,513,589,783,770,13,568,202,828,380,448,56,101,0,40338,1774,189,72500,30
13051010501,Savannah,4585,910,282,2627,1650,6,220,42,2654,1931,2050,1343,1694,1686,8,1303,383,1692,959,733,176,94,0,27879,3502,659,33100,31
13051001500,Savannah,1189,76,138,792,267,29,49,45,600,589,520,455,577,534,43,469,65,588,292,296,18,95,0,15122,1163,506,357300,32
13051003601,Savannah,3005,1011,299,713,2192,25,68,7,1254,1751,699,996,1020,1020,0,710,310,1009,397,612,85,75,9,27250,3005,711,64100,33
13051004500,Savannah,3981,882,616,146,3793,16,26,0,1830,2151,1171,1312,1500,1500,0,1150,350,1531,736,795,86,169,0,26563,3922,935,69700,34
13051001800,Savannah,1005,281,150,133,872,0,0,0,454,551,292,282,269,262,7,168,94,282,141,141,28,30,0,15344,1000,581,62000,35
13051002000,Savannah,1809,431,240,125,1684,0,0,0,864,945,530,608,630,613,17,468,145,637,330,307,42,52,6,17475,1809,671,46800,36
13051001900,Savannah,1040,249,52,251,730,40,11,8,506,534,380,359,427,369,58,263,106,444,238,206,46,86,11,12212,1040,551,67300,37
13051010502,Savannah,3080,880,252,1041,1962,0,14,56,1425,1655,930,1018,1347,1320,27,1171,149,1333,684,649,101,191,0,38234,3080,417,74300,38
13051002100,Savannah,2541,710,312,31,2489,17,4,0,1153,1388,664,855,992,975,17,683,292,1020,394,626,41,74,0,23333,2535,710,56700,39
13051002200,Savannah,4617,1310,501,791,3692,45,8,59,2119,2498,1240,1566,1819,1772,47,1255,517,1829,773,1056,203,196,16,21530,4617,1255,68400,40
13051002300,Savannah,2225,638,409,0,2206,0,19,0,1033,1192,519,659,614,590,24,447,143,614,272,342,103,19,0,18188,2219,711,51200,41
13051002400,Savannah,1357,428,218,74,1265,0,8,4,567,790,309,402,447,447,0,335,112,460,198,262,15,35,0,22500,1339,276,38600,42
13051002500,Savannah,948,105,222,366,547,35,0,0,472,476,347,274,389,357,32,250,107,389,201,188,6,70,6,15644,948,356,80000,43
13051002600,Savannah,1673,354,181,284,1389,0,0,0,811,862,534,604,606,592,14,444,148,621,271,350,40,56,0,26786,1673,374,71700,44
13051003602,Savannah,5165,1248,625,1655,3175,156,89,61,2481,2684,1555,1737,2192,2192,0,1503,689,2232,1036,1196,197,249,0,29766,5128,1165,57600,45
13051002700,Savannah,3380,734,436,143,3169,23,21,13,1615,1765,1085,1125,1309,1284,25,937,347,1324,668,656,88,90,8,25452,3363,725,51500,46
13051010102,Savannah,3738,633,562,1689,1800,143,20,86,1724,2014,1176,1367,1746,1720,26,1308,412,1802,875,927,124,330,7,35254,3104,524,80300,47
13051002800,Savannah,3086,797,481,163,2831,0,63,29,1365,1721,804,1004,1193,1184,9,877,307,1185,546,639,119,82,0,23798,3086,851,51000,48
13051002900,Savannah,3024,541,504,2782,186,0,32,18,1417,1607,984,995,1601,1550,51,1358,192,1605,863,742,55,540,33,50816,3013,281,150900,49
13051003000,Savannah,1948,272,297,1718,198,0,21,11,833,1115,575,804,1150,1121,29,861,260,1147,520,627,29,276,6,45238,1948,110,115900,50
13051004400,Savannah,1903,534,208,25,1862,10,0,6,883,1020,513,648,535,529,6,415,114,547,245,302,37,17,0,20909,1898,679,54900,51
13051003501,Savannah,2909,729,394,922,1849,42,67,23,1271,1638,825,961,1135,1129,6,856,273,1138,549,589,97,104,7,24393,2886,643,65300,52
13051003400,Savannah,4477,749,1060,2202,2084,63,43,79,2052,2425,1268,1400,2006,1927,79,1652,275,2020,979,1041,153,292,14,32997,4322,448,93300,53
13051003502,Savannah,3820,864,567,1955,1712,85,23,45,1843,1977,1135,1254,1712,1686,26,1228,458,1707,829,878,86,241,30,40556,3820,399,71800,54
13051003800,Savannah,2764,740,208,514,2082,0,21,124,1269,1495,846,970,1319,1319,0,953,366,1340,658,682,96,175,0,32837,2756,469,61700,55
13051011104,Savannah,4888,1084,435,4396,175,105,49,62,2431,2457,1661,1708,2803,2741,62,1686,1055,2815,1458,1357,180,663,63,47762,4871,225,105900,56
13051004300,Savannah,2797,546,0,1372,920,81,321,32,1877,920,1682,569,1978,1736,242,1712,24,191,67,124,0,14,0,28897,1056,218,81800,57
13051004001,Savannah,4515,853,1143,3352,881,96,91,89,2079,2436,1204,1315,1986,1932,54,1582,350,1956,1055,901,90,431,24,38630,4496,426,112300,58
13051011103,Savannah,3696,460,689,3516,92,16,37,29,1800,1896,1242,1305,1901,1817,84,914,903,1913,1043,870,81,464,11,50368,3579,348,174600,59
13051003900,Savannah,4003,1001,690,2093,1701,96,66,47,1882,2121,1106,1206,1745,1733,12,1368,365,1749,848,901,147,208,14,42004,3917,376,75200,60
13051011105,Savannah,9325,2135,925,8558,359,259,102,31,4552,4773,3009,3256,5258,5086,172,3205,1881,5203,2703,2500,181,1717,133,65608,9309,286,143000,61
13051011004,Savannah,3767,1006,532,3541,69,46,48,23,1866,1901,1090,1139,1839,1784,55,1253,531,1856,1016,840,36,588,35,82852,3767,5,177300,62
13051010200,Savannah,4209,1066,542,1892,2176,25,65,45,1974,2235,1267,1334,1986,1944,42,1472,472,2014,990,1024,170,362,19,47264,4200,283,81800,63
13051004002,Savannah,3909,658,708,2824,817,141,96,25,1821,2088,1259,1284,1765,1721,44,1433,288,1677,883,794,93,410,42,36372,3772,539,97300,64
13051011002,Savannah,6958,721,2722,6777,16,83,36,36,3391,3567,1583,1932,1965,1745,220,1214,531,1971,1213,758,8,810,27,96229,6934,92,307500,65
13051010805,Savannah,9241,2254,396,6272,1930,345,444,225,4573,4668,3273,3318,5425,5333,92,3864,1469,4846,2355,2491,265,1040,117,51093,9227,394,115800,66
13051004207,Savannah,3399,753,424,1522,1664,42,92,64,1543,1856,980,1242,1511,1474,37,1086,388,1459,622,837,66,196,16,34083,3375,751,88600,67
13051010901,Savannah,3681,832,451,1948,1373,86,207,55,1666,2015,1163,1235,1840,1827,13,1368,459,1716,831,885,73,226,13,29258,3666,598,72900,68
13051004202,Savannah,8312,1813,672,4137,3151,298,514,127,4123,4189,2928,2899,4446,4386,60,3164,1222,4355,2184,2171,217,635,28,30339,8276,1543,78600,69
13051004208,Savannah,5448,1312,596,2999,1874,191,294,90,2524,2924,1621,1919,2699,2646,53,2033,613,2593,1187,1406,124,424,13,35280,5335,821,80200,70
13051004100,Savannah,2048,431,316,1559,466,7,0,9,991,1057,630,671,995,949,46,742,207,973,475,498,77,169,5,43103,2048,149,85300,71
13051011003,Savannah,6161,1398,660,5177,779,64,20,75,3068,3093,2042,2061,3257,3115,142,2247,868,3317,1767,1550,129,630,61,56131,6132,248,116000,72
13051004205,Savannah,9888,1968,1318,6211,3117,225,194,118,4590,5298,3101,3501,4934,4852,82,3467,1385,4774,2440,2334,290,811,33,47262,9591,480,96000,73
13029920300,Savannah,14508,4122,882,12239,1402,287,372,144,7225,7283,4616,4888,7237,7018,219,2784,4234,6850,3484,3366,409,1331,119,59190,14427,1164,121600,74
13051004206,Savannah,1877,405,255,1264,512,49,18,28,877,1000,573,644,965,949,16,713,236,938,470,468,61,273,3,61875,1865,132,147400,75
13051010902,Savannah,1141,204,182,1022,107,10,0,0,526,615,342,413,598,590,8,436,154,580,291,289,15,170,9,63625,1134,24,130400,76
