id,ln_gpdpc1929,ln_gpdpc1930,ln_gpdpc1931,ln_gpdpc1932,ln_gpdpc1933,ln_gpdpc1934,ln_gpdpc1935,ln_gpdpc1936,ln_gpdpc1937,ln_gpdpc1938,ln_gpdpc1939,ln_gpdpc1940,ln_gpdpc1941,ln_gpdpc1942,ln_gpdpc1943,ln_gpdpc1944,ln_gpdpc1945,ln_gpdpc1946,ln_gpdpc1947,ln_gpdpc1948,ln_gpdpc1949,ln_gpdpc1950,ln_gpdpc1951,ln_gpdpc1952,ln_gpdpc1953,ln_gpdpc1954,ln_gpdpc1955,ln_gpdpc1956,ln_gpdpc1957,ln_gpdpc1958,ln_gpdpc1959,ln_gpdpc1960,ln_gpdpc1961,ln_gpdpc1962,ln_gpdpc1963,ln_gpdpc1964,ln_gpdpc1965,ln_gpdpc1966,ln_gpdpc1967,ln_gpdpc1968,ln_gpdpc1969,ln_gpdpc1970,ln_gpdpc1971,ln_gpdpc1972,ln_gpdpc1973,ln_gpdpc1974,ln_gpdpc1975,ln_gpdpc1976,ln_gpdpc1977,ln_gpdpc1978,ln_gpdpc1979,ln_gpdpc1980,ln_gpdpc1981,ln_gpdpc1982,ln_gpdpc1983,ln_gpdpc1984,ln_gpdpc1985,ln_gpdpc1986,ln_gpdpc1987,ln_gpdpc1988,ln_gpdpc1989,ln_gpdpc1990,ln_gpdpc1991,ln_gpdpc1992,ln_gpdpc1993,ln_gpdpc1994,ln_gpdpc1995,ln_gpdpc1996,ln_gpdpc1997,ln_gpdpc1998,ln_gpdpc1999,ln_gpdpc2000,ln_gpdpc2001,ln_gpdpc2002,ln_gpdpc2003,ln_gpdpc2004,ln_gpdpc2005,ln_gpdpc2006,ln_gpdpc2007,ln_gpdpc2008,ln_gpdpc2009,state,region,g1929_1994,g1929_1945,g1946_1994,g1995_2009,g1929_2009
1,6.6080008,6.4892049,6.280396,5.9964519,5.9295893,6.0935698,6.1944056,6.3438807,6.3952618,6.3664703,6.4199948,6.4892049,6.7615728,7.0867381,7.2923369,7.3310604,7.2577076,7.2449417,7.3158836,7.3926477,7.374629,7.4506607,7.5358305,7.5873103,7.6333694,7.63868,7.6572828,7.6834035,7.7240047,7.7323694,7.7748556,7.7981124,7.8379488,7.8935719,7.9138865,7.9578772,8.0320349,8.1271095,8.1792002,8.2558289,8.3180103,8.3440294,8.3850327,8.4618921,8.5777235,8.6859226,8.7846212,8.8791943,8.9659729,9.0923452,9.2068338,9.2977104,9.3845453,9.427949,9.4821978,9.5483112,9.5981846,9.6500139,9.6989202,9.7567263,9.8346729,9.9047871,9.9475527,9.995018,10.017441,10.04841,10.080713,10.138045,10.196792,10.26228,10.321935,10.358631,10.375146,10.379908,10.402261,10.462646,10.48397,10.557816,10.615996,10.635567,10.611991,Washington,Pacific,3.4404097,2.7907028,-2.8034687,-.53127766,-4.0039902
2,6.3835068,6.2166061,5.9454207,5.8260002,5.6970935,5.8971539,6.1654177,6.1633148,6.2383246,6.2480431,6.2785215,6.3438807,6.5694814,6.8035054,7.0475173,7.075809,7.0950642,7.1762547,7.3024964,7.4036703,7.2527623,7.4109521,7.4988699,7.5082388,7.5010819,7.4792995,7.5464463,7.5647569,7.5923662,7.6343374,7.6123366,7.6377163,7.6133251,7.7676873,7.7536235,7.7689562,7.8430638,7.9120569,7.9391589,7.9912539,8.096817,8.1956091,8.2398577,8.3790798,8.5195904,8.5904436,8.6645784,8.7323046,8.8002644,8.9516993,9.0238905,9.1207438,9.2344475,9.2753792,9.3097334,9.3677711,9.3842936,9.4306803,9.4723969,9.5001698,9.5903511,9.6501427,9.7116613,9.7476521,9.8021193,9.8052683,9.839695,9.8721514,9.9118032,9.9675884,9.9996614,10.024333,10.099958,10.114518,10.164428,10.222559,10.274603,10.339869,10.392834,10.413102,10.3951,Montana,Mtn,3.4217615,2.7102041,-2.6290135,-.55540466,-4.0115929
3,6.3985949,6.3561077,6.196444,5.9322453,5.9162021,6.0306854,6.0637851,6.2265368,6.2344108,6.1548581,6.2045579,6.2653012,6.4473057,6.753438,7.0048819,7.0048819,6.9837899,7.0335064,7.0639038,7.1228666,7.075809,7.0859013,7.184629,7.2710085,7.2786288,7.2779384,7.3658128,7.41998,7.4500794,7.4938741,7.5229411,7.5595593,7.551187,7.5923662,7.6251073,7.7016525,7.7761154,7.8395257,7.8853292,7.9627638,8.0519781,8.1382723,8.1870213,8.2594585,8.370779,8.4688425,8.5209856,8.6496239,8.7229061,8.8174458,8.9222584,9.0369387,9.1303225,9.1975594,9.2639761,9.3643484,9.43612,9.5077009,9.5884342,9.6685877,9.7342405,9.7687559,9.779171,9.8173847,9.842144,9.8797579,9.9154158,9.9661341,10.012567,10.065989,10.110623,10.151246,10.206107,10.230307,10.265593,10.31563,10.332702,10.38406,10.422876,10.460414,10.470732,Maine,N Eng,3.481163,2.895968,-2.8462515,-.55531597,-4.0721369
4,5.9454207,5.7397928,5.2311087,5.1704841,4.9836068,5.1929569,5.6058021,5.4553213,5.7868972,5.6419072,5.7651911,5.872118,6.2709885,6.4997869,6.8731637,6.9382844,6.9527287,6.9920964,7.3092122,7.3018222,7.0992017,7.21524,7.2751722,7.1838708,7.1974354,7.2181768,7.3065314,7.3498735,7.3765082,7.521318,7.4259539,7.5071411,7.410347,7.7493224,7.6694951,7.6553907,7.8091354,7.8268423,7.8601851,7.9080195,8.0235519,8.0752716,8.207674,8.384119,8.7277784,8.7193174,8.7536869,8.7297201,8.7682629,9.0040541,9.0357485,8.9990015,9.243969,9.3047409,9.3401394,9.4179239,9.4580593,9.4823503,9.5152483,9.4528942,9.5719929,9.6728153,9.6970778,9.7808676,9.7886381,9.8539295,9.8566055,9.9601517,9.9426117,10.033068,10.056767,10.129348,10.17038,10.195037,10.278803,10.298094,10.362304,10.39989,10.487991,10.571548,10.562871,North Dakota,W N Cen,3.9085088,2.9012008,-2.8618331,-.70626545,-4.6174502
5,6.0544395,5.9026332,5.484797,5.2417469,4.8598123,5.2149358,5.7333412,5.4971681,5.7776523,5.768321,5.8435445,5.8888779,6.1633148,6.6293631,6.7405195,6.8865318,6.9902563,7.0317411,7.1467724,7.3304052,7.0175061,7.1569562,7.3112183,7.1906762,7.2696166,7.2841349,7.2019162,7.2577076,7.41998,7.4616404,7.3550019,7.5336938,7.5299435,7.6458759,7.6108527,7.6009026,7.7310534,7.8240461,7.8543811,7.9276853,8.0046997,8.0882549,8.1713171,8.3101692,8.5492735,8.5521746,8.642415,8.6289139,8.7563677,8.9020472,9.0067539,9.0047913,9.1538763,9.2018042,9.2296524,9.3603973,9.3878164,9.4323635,9.4892588,9.5329313,9.6001501,9.6951094,9.7386723,9.796236,9.8290329,9.8836422,9.8958588,9.9867249,10.01122,10.077314,10.128429,10.170265,10.223068,10.230162,10.31135,10.36612,10.395926,10.413913,10.491219,10.550277,10.50504,South Dakota,W N Cen,3.8292027,2.8933859,-2.8519011,-.6091814,-4.4506006
6,6.5147128,6.3716121,6.1654177,5.9242558,5.9162021,6.0185933,6.2065759,6.3117347,6.4085288,6.329721,6.3750248,6.4002576,6.658011,6.8501263,7.0475173,7.1098795,7.1372786,7.2167096,7.3172126,7.3839893,7.4067106,7.4494982,7.5781455,7.5559049,7.5663109,7.527256,7.556428,7.6063876,7.6648159,7.6834035,7.7310534,7.7458682,7.7777925,7.8248458,7.8379488,7.8586407,7.9168077,7.9745331,8.0459089,8.1062126,8.1842346,8.273592,8.3591347,8.4572306,8.5960045,8.7277784,8.8100119,8.883502,9.0060186,9.1467609,9.2659645,9.3718634,9.4633532,9.491828,9.4511671,9.5099258,9.5639505,9.5470982,9.5605745,9.6136694,9.7039995,9.797905,9.84517,9.8807306,9.9177351,9.9502277,9.9764595,10.003242,10.07828,10.123707,10.180967,10.212074,10.279249,10.303203,10.359138,10.425876,10.510069,10.634604,10.679435,10.718344,10.657353,Wyoming,Mtn,3.4355149,2.8129492,-2.7335181,-.6808939,-4.1426406
7,6.5117455,6.3767271,6.1506028,5.891644,5.8081427,5.9401712,6.1333981,6.2499752,6.3117347,6.2285109,6.2402759,6.3044486,6.5102582,6.763885,6.9593987,7.0112138,7.0749631,7.0992017,7.167038,7.2682228,7.2348986,7.3172126,7.4593387,7.4949861,7.5169773,7.4809923,7.5363641,7.59589,7.6304612,7.6377163,7.7075124,7.7222347,7.7424021,7.7882113,7.8071032,7.8694019,7.9334383,8.0146666,8.0646362,8.1435175,8.2297773,8.2897902,8.3518467,8.432724,8.542861,8.6344423,8.70963,8.8053751,8.9115295,9.0230465,9.135725,9.2263117,9.3061962,9.3580704,9.3964882,9.4866076,9.5356798,9.583971,9.6393919,9.6928282,9.7584038,9.8069763,9.8368673,9.8970671,9.9349375,9.9850216,10.024509,10.067051,10.118196,10.175231,10.217934,10.248211,10.280587,10.303538,10.330616,10.364166,10.392834,10.449729,10.486792,10.50764,10.482233,Wisconsin,E N Cen,3.4732761,2.9100585,-2.8858199,-.45772362,-3.9704876
8,6.2285109,6.2205901,5.9242558,5.6131282,5.4249501,5.9989367,5.9889612,6.1633148,6.0473723,6.0544395,6.0799332,6.1377273,6.3902407,6.8178306,6.9324479,6.9985094,7.0343881,7.0925736,7.1530519,7.2041492,7.1522689,7.1921821,7.3112183,7.4048877,7.3460102,7.3518,7.3752556,7.45472,7.4860525,7.5049419,7.5448608,7.5485559,7.5883236,7.6458759,7.6815605,7.7186856,7.8454161,7.8597994,7.9211726,7.9759083,8.0922394,8.1769543,8.23244,8.330864,8.4572306,8.5908155,8.62533,8.7186632,8.7810946,8.8982286,8.9738579,9.0750933,9.1489964,9.1717033,9.241354,9.311904,9.3628035,9.3899918,9.4423246,9.5139942,9.6025848,9.6719341,9.6924582,9.754756,9.8123589,9.8440561,9.8848143,9.9209833,9.94415,9.9952917,10.03605,10.093281,10.131578,10.145845,10.162461,10.234445,10.275154,10.340258,10.378728,10.383503,10.341323,Idaho,Mtn,3.6155453,2.8096681,-2.7514825,-.45650864,-4.112812
9,6.4520488,6.3561077,6.1612072,5.8998976,5.8230457,5.9480348,6.025866,6.1548581,6.1841488,6.1246834,6.196444,6.2461066,6.4661446,6.652863,6.8373327,6.8596148,6.9421568,6.9939332,7.0273147,7.0833879,7.0255384,7.0639038,7.1959372,7.2298388,7.2668276,7.2834482,7.3290939,7.4115562,7.4500794,7.4570322,7.5131636,7.5616417,7.597898,7.6362696,7.6629376,7.7257714,7.8062892,7.9116907,7.9672804,8.0481491,8.1279955,8.1980896,8.2573853,8.3371096,8.4224424,8.4906435,8.5548744,8.6574764,8.7289114,8.8587952,8.9686508,9.0713081,9.181632,9.238636,9.3027372,9.3966541,9.4722433,9.5354624,9.6152716,9.6925812,9.7709274,9.801178,9.8101654,9.8674974,9.8926792,9.9307623,9.9692287,10.012117,10.058867,10.11872,10.161573,10.199919,10.244947,10.262943,10.295834,10.349455,10.370988,10.445638,10.491775,10.51705,10.511948,Vermont,N Eng,3.4787135,2.9886055,-2.9368291,-.54271889,-4.0598989
10,6.3952618,6.3135481,6.1246834,5.894403,5.7300997,5.8805332,6.1114674,6.1569791,6.2915692,6.2025356,6.2480431,6.2614918,6.4216223,6.6808548,6.8532991,6.9137373,7.0121155,7.0817084,7.1467724,7.2800083,7.1914291,7.2703128,7.3664451,7.3981743,7.4448333,7.4524026,7.4899707,7.5164332,7.5652752,7.6088705,7.6328855,7.6755462,7.7124438,7.7540526,7.8079166,7.8399196,7.9305658,8.0053673,8.0652657,8.1498909,8.237215,8.3072128,8.3605394,8.4398804,8.5998783,8.6721439,8.7348824,8.8141823,8.9304943,9.044404,9.1494217,9.2418394,9.3343267,9.3919954,9.4409761,9.5648632,9.6219864,9.6728783,9.7350101,9.7751999,9.8504028,9.9040375,9.9276438,9.9849758,10.001884,10.063351,10.109811,10.176068,10.223685,10.292247,10.335043,10.376642,10.39925,10.420881,10.455762,10.505204,10.529426,10.580683,10.622766,10.652518,10.619374,Minnesota,W N Cen,3.6680889,3.0512352,-2.9816422,-.50956345,-4.2241125
11,6.5042882,6.4085288,6.2245584,5.9375362,5.8805332,6.0844994,6.1268692,6.3062754,6.3207684,6.2747622,6.3473892,6.4118185,6.7068624,7.0192966,7.2305632,7.2363396,7.2130318,7.2291141,7.3158836,7.4061036,7.3802557,7.4127641,7.5120711,7.5559049,7.5579948,7.5320883,7.5898414,7.635304,7.6280313,7.6525459,7.7160153,7.7332458,7.761745,7.8066964,7.840313,7.8954358,7.9557757,8.0173073,8.0712185,8.1455498,8.2098522,8.2789364,8.3456926,8.4392319,8.5438347,8.6527729,8.7292356,8.8411589,8.9300976,9.0449944,9.1500597,9.2297506,9.293026,9.3172197,9.3785629,9.4623432,9.5139208,9.5583172,9.6098547,9.6842117,9.7539425,9.8120852,9.8419313,9.8811398,9.9234867,9.972127,10.028709,10.071076,10.120412,10.164235,10.204444,10.252382,10.27042,10.288308,10.31467,10.348718,10.376861,10.440331,10.471044,10.488464,10.469086,Oregon,Pacific,3.4678388,2.7590952,-2.7430129,-.44037628,-3.9647975
12,6.5308776,6.4723463,6.3243589,6.0567842,6.0306854,6.1654177,6.2105999,6.2859979,6.3368258,6.2785215,6.329721,6.3613024,6.5624442,6.7464123,6.8834624,6.9603477,7.0130157,7.0475173,7.1041441,7.1631722,7.1499166,7.2063775,7.3185396,7.3632798,7.410347,7.4401464,7.5115247,7.5496092,7.6043963,7.6029005,7.6610565,7.6948481,7.7323694,7.7798853,7.7944112,7.8446326,7.9039655,7.9939575,8.05896,8.1435175,8.22791,8.2677059,8.3192301,8.3945732,8.4929008,8.5714922,8.6290922,8.7416162,8.8381166,8.9600821,9.0803452,9.2018042,9.3128071,9.384798,9.4758539,9.5842457,9.6689672,9.7394381,9.8185282,9.8913641,9.9347439,9.9385166,9.9676819,10.005774,10.022203,10.07828,10.126951,10.167466,10.225824,10.298195,10.345413,10.414273,10.432349,10.44392,10.460012,10.512111,10.533055,10.59656,10.638736,10.656342,10.642612,New Hampshire,N Eng,3.5474029,3.0652647,-3.0307631,-.51566029,-4.1117339
13,6.3647509,6.2344108,5.9914646,5.6937323,5.5333896,5.5947113,6.0520892,5.9738097,6.2595816,6.1268692,6.1633148,6.2166061,6.4118185,6.7274318,6.9314718,6.9107509,6.9957662,7.1268907,7.1041441,7.4036703,7.2122946,7.3343291,7.4012313,7.4529824,7.4127641,7.488853,7.420579,7.4719319,7.5699277,7.59589,7.6138186,7.6309466,7.6870804,7.7336836,7.7964692,7.8434563,7.9490914,8.0284548,8.0368967,8.1053076,8.2030306,8.2589407,8.2952986,8.4058142,8.5937834,8.6298075,8.7310133,8.79179,8.8932981,9.0405006,9.1175671,9.1768866,9.3027372,9.3260765,9.3487968,9.4570446,9.5026369,9.5482397,9.6090498,9.6365881,9.7148666,9.7630758,9.7902632,9.848979,9.8484507,9.9280825,9.9608603,10.030693,10.077357,10.120372,10.150933,10.19328,10.215191,10.248211,10.269345,10.342613,10.362683,10.409612,10.463332,10.51124,10.490802,Iowa,W N Cen,3.5633316,2.9323163,-2.8011918,-.52994156,-4.1260509
14,6.8090391,6.7286286,6.6320019,6.418365,6.3261495,6.4118185,6.4661446,6.5708828,6.5957804,6.5102582,6.5847912,6.658011,6.8035054,6.9782138,7.1404529,7.1693501,7.2063775,7.2413664,7.2689199,7.3211884,7.2997975,7.4121604,7.5049419,7.5469742,7.5740452,7.5652752,7.635787,7.6934814,7.7389235,7.7497535,7.7956467,7.8284364,7.8651881,7.9135208,7.9370174,7.9834399,8.0394802,8.1110277,8.1839561,8.2695007,8.3445053,8.4087172,8.4654789,8.5381718,8.6217337,8.7035065,8.7701283,8.852808,8.940629,9.0454655,9.1560955,9.2754726,9.3783941,9.4574347,9.5366898,9.6517515,9.7243605,9.7955685,9.8783751,9.9680576,10.019403,10.052898,10.075295,10.121658,10.152844,10.197686,10.241779,10.296138,10.352395,10.416132,10.478724,10.545131,10.57763,10.577401,10.593354,10.64046,10.680976,10.755624,10.806916,10.831845,10.811544,Massachusetts,N Eng,3.3886471,2.9913087,-2.9563198,-.56976509,-4.0025053
15,6.3902407,6.2557502,6.0234475,5.7268476,5.6167712,5.556828,6.0137153,5.9814143,6.0282784,6.0038872,5.9914646,6.09131,6.3117347,6.7117405,6.9265771,6.9948502,7.0783415,7.0783415,7.1499166,7.3511581,7.2048926,7.3524413,7.4030609,7.4736371,7.4241652,7.4690838,7.4085307,7.4235682,7.5683794,7.6133251,7.6118426,7.6615272,7.6657534,7.7371802,7.7583337,7.7798853,7.8845763,7.9690118,8.0030289,8.0605402,8.1808805,8.241703,8.3238516,8.4178152,8.5695963,8.6061192,8.7271299,8.7723007,8.8526649,9.0020857,9.0806875,9.1347542,9.2765961,9.3261662,9.3588467,9.4702396,9.528285,9.5620527,9.6181364,9.6793432,9.7337666,9.8030043,9.8398018,9.8877649,9.9118032,9.9602461,10.007668,10.087683,10.110095,10.160491,10.205405,10.233834,10.278424,10.292111,10.350159,10.385018,10.416162,10.456021,10.515425,10.548704,10.520212,Nebraska,W N Cen,3.5700054,2.8819046,-2.8819046,-.51254463,-4.1299715
16,7.0492549,6.9421568,6.7810578,6.5161929,6.4393506,6.5220928,6.5820251,6.694562,6.7310181,6.6707664,6.7153835,6.767343,6.9037471,7.0639038,7.2327332,7.3382382,7.4048877,7.4366174,7.4529824,7.4792995,7.4552984,7.527256,7.601902,7.629004,7.6704288,7.6847839,7.7384882,7.7898684,7.8328075,7.8450246,7.8991537,7.9330797,7.9606724,7.9996786,8.0294333,8.0876408,8.1379805,8.2043982,8.2746115,8.3652067,8.4344635,8.4943342,8.5523672,8.6193886,8.6961756,8.778326,8.8472157,8.9195871,9.0061417,9.102644,9.2030134,9.31425,9.4225445,9.4988222,9.5601521,9.6638966,9.7251978,9.7884693,9.8538246,9.9332409,9.9972515,10.056852,10.083389,10.13456,10.149918,10.179565,10.229945,10.284182,10.324826,10.380839,10.430875,10.450076,10.473647,10.472545,10.493411,10.553518,10.611326,10.689487,10.76878,10.79327,10.754579,New York,Mid Atl,3.1303105,2.7746778,-2.7429481,-.52463341,-3.7053237
17,6.6489844,6.568078,6.3969297,6.1070228,6.0330863,6.1779442,6.2480431,6.3985949,6.4551988,6.3332796,6.3985949,6.4769726,6.6541524,6.8575139,7.0440331,7.130899,7.1546154,7.161622,7.2181768,7.2696166,7.2477927,7.3472996,7.4460015,7.4894123,7.5464463,7.5104303,7.5574727,7.6319165,7.6843243,7.6797137,7.714231,7.7410989,7.7553387,7.7993436,7.8284364,7.8868332,7.9480319,8.0196133,8.0851784,8.1625166,8.2466955,8.313117,8.364974,8.4516945,8.5502415,8.6489229,8.7274542,8.8246775,8.9217243,9.0246134,9.1296721,9.2253275,9.3222399,9.3832006,9.4298773,9.5113335,9.578104,9.628129,9.6891794,9.7597904,9.837615,9.894598,9.9284239,9.9781313,10.008343,10.037319,10.074832,10.12013,10.169384,10.216764,10.261337,10.293467,10.311782,10.336568,10.364356,10.406352,10.437962,10.501637,10.545421,10.571522,10.566871,Pennsylvania,Mid Atl,3.3883348,2.8827038,-2.8756971,-.49203873,-3.9178863
18,6.9314718,6.82546,6.6858611,6.4297194,6.368187,6.4815769,6.5596151,6.6920838,6.7569323,6.6450911,6.7286286,6.8221974,7.04316,7.2570028,7.3733745,7.3771338,7.3556409,7.36518,7.4395595,7.4500794,7.4163785,7.5448608,7.6769371,7.7397943,7.780303,7.7621708,7.8148036,7.8950634,7.9409399,7.9124231,7.9487386,7.9813914,8.0202703,8.0630627,8.0864105,8.1318245,8.1839561,8.262043,8.3416491,8.399085,8.4861155,8.5350332,8.5754623,8.6476946,8.7388954,8.8265877,8.8872385,8.9727173,9.0724564,9.181941,9.3030109,9.4285917,9.5371227,9.6093178,9.6677017,9.7745171,9.8396425,9.905386,9.9940138,10.086101,10.158013,10.193767,10.198505,10.262385,10.295597,10.32653,10.371834,10.418465,10.479988,10.530815,10.578979,10.612508,10.652046,10.645925,10.654857,10.714618,10.75837,10.842185,10.895442,10.906469,10.873054,Connecticut,N Eng,3.3950586,2.9708896,-2.9613504,-.50121975,-3.9415817
19,6.7730803,6.669498,6.5666723,6.3543701,6.3261495,6.3969297,6.4692502,6.5666723,6.5944133,6.5102582,6.5792513,6.6200733,6.8394766,7.0466471,7.09091,7.1499166,7.1530519,7.2218356,7.2855067,7.2675252,7.2283883,7.3479438,7.4483337,7.4759059,7.52564,7.521318,7.579679,7.5999022,7.6128311,7.6338534,7.6884556,7.7115488,7.7531943,7.8066964,7.8446326,7.8976684,7.9620671,8.0433426,8.1125278,8.1872997,8.259717,8.3221512,8.3652067,8.4392319,8.5115776,8.5950794,8.673171,8.7657709,8.8542366,8.9480658,9.0589361,9.1842012,9.2886896,9.3591909,9.4285917,9.526391,9.5945816,9.6541929,9.7202253,9.8130703,9.8861885,9.9131413,9.9214745,9.9644413,10.005006,10.032847,10.087724,10.131539,10.189831,10.240388,10.287968,10.298397,10.353863,10.385111,10.424956,10.472148,10.503999,10.561267,10.607104,10.63446,10.628206,Rhode Island,N Eng,3.2597671,2.8797956,-2.8110118,-.54048252,-3.8551259
20,6.8221974,6.7417006,6.6012301,6.3750248,6.2595816,6.3508859,6.4377518,6.5638556,6.616065,6.5467854,6.6187391,6.7093043,6.8638034,7.0621915,7.26473,7.3485875,7.3664451,7.3304052,7.3594675,7.4073176,7.3926477,7.4966526,7.6009026,7.6563373,7.7106533,7.704812,7.7406645,7.8030267,7.8442407,7.8339963,7.8860812,7.9244342,7.9480319,8.0030289,8.0274763,8.0783777,8.1356401,8.2030306,8.2666788,8.3516111,8.4173727,8.4836369,8.5422764,8.6163139,8.7066555,8.7911816,8.8589373,8.9493656,9.0433407,9.1493158,9.2561741,9.3739891,9.4770794,9.5467415,9.6182022,9.7140808,9.7786045,9.8368673,9.9149218,10.005232,10.06879,10.117227,10.132732,10.188554,10.207326,10.235845,10.284557,10.335108,10.385049,10.443192,10.478724,10.518213,10.544262,10.551638,10.565351,10.611597,10.6488,10.729153,10.782534,10.804319,10.781515,New Jersey,Mid Atl,3.4136472,2.8693995,-2.9054394,-.49695778,-3.9593177
21,6.4085288,6.2422233,6.0822191,5.7365723,5.6835799,5.8833222,6.0426331,6.1758671,6.3044486,6.1569791,6.2499752,6.3117347,6.5847912,6.8167357,7.0370278,7.0884089,7.1316986,7.0934048,7.1800699,7.2834482,7.2159748,7.3290939,7.4448333,7.4832444,7.5719886,7.4983158,7.5532866,7.6048946,7.621685,7.6083746,7.6643467,7.700295,7.7169061,7.7828074,7.8184304,7.8697839,7.9571772,8.0199413,8.0561094,8.1318245,8.2198648,8.2453842,8.3199606,8.401782,8.5369959,8.6015339,8.6707726,8.7820158,8.8816977,8.9879465,9.0840969,9.1536646,9.245225,9.277812,9.3239365,9.4290743,9.4836445,9.5339441,9.5931511,9.6560516,9.7273464,9.7770739,9.801178,9.8662529,9.9090719,9.9595366,9.9917269,10.033419,10.075253,10.133884,10.171337,10.204,10.225208,10.242064,10.278115,10.313144,10.33423,10.382977,10.408828,10.433469,10.409522,Indiana,E N Cen,3.5510077,2.8278379,-2.8661318,-.41779518,-4.0009933
22,6.7661915,6.7250338,6.4800444,6.3099184,6.2045579,6.302619,6.4892049,6.7369671,6.6359468,6.6592941,6.7580943,6.7968235,6.8895912,7.3511581,7.3205271,7.3018222,7.3846102,7.4713631,7.478735,7.4719319,7.4927602,7.5963922,7.7012,7.7819734,7.802618,7.7894545,7.8347883,7.8192344,7.8485436,7.8609562,7.9189925,7.9690118,7.9919305,8.0658932,8.062748,8.0737143,8.1013746,8.1521978,8.2052183,8.3221512,8.4162674,8.5063343,8.5615931,8.6228132,8.7183361,8.778018,8.85495,8.9514399,9.0536861,9.1880951,9.2840557,9.3741589,9.455637,9.4716272,9.5078487,9.5774107,9.6376972,9.6820297,9.7342405,9.8080778,9.8816509,9.9366322,9.9656639,10.029856,10.063265,10.111923,10.15844,10.208838,10.247112,10.302465,10.342452,10.326432,10.332604,10.33686,10.379163,10.456137,10.533562,10.562354,10.604752,10.6049,10.545578,Nevada,Mtn,3.3457317,2.727313,-2.6405602,-.38713837,-3.7793865
23,6.3117347,6.2105999,5.9107966,5.7203116,5.6970935,5.7365723,5.9635792,6.1377273,6.0958247,6.0958247,6.1268692,6.1737862,6.3868794,6.779922,7.0264268,6.9555926,7.0219765,6.9975958,7.0732698,7.1364832,7.1404529,7.2063775,7.3421316,7.3752556,7.3802557,7.3607397,7.4181809,7.4719319,7.5294065,7.5432734,7.5857887,7.6182513,7.6453977,7.7097569,7.7323694,7.7773738,7.8216434,7.8651881,7.9087548,7.972466,8.0401249,8.1288805,8.2046719,8.2887859,8.3723984,8.4644251,8.546752,8.6550398,8.7527399,8.8595057,8.9600821,9.0435772,9.136694,9.1908522,9.2430983,9.3266115,9.3797455,9.4131184,9.4444637,9.4846334,9.5451689,9.6155386,9.6589289,9.7022276,9.7427902,9.7932262,9.8446922,9.9012346,9.9596786,10.012073,10.055694,10.081926,10.122583,10.127031,10.134282,10.172331,10.236561,10.294921,10.342032,10.349871,10.312513,Utah,Mtn,3.4814916,2.7712498,-2.7956305,-.46782112,-4.0007787
